location,forecast_date,target,target_end_date,type,quantile,value,pop
01,2021-01-04,1 wk ahead inc death,2021-01-09,point,,246.3875,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.01,57.7304,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.025,73.98275,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.05,92.27075,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.1,118.436,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.15,141.39,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.2,158.652,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.25,176.293,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.3,189.0772,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.35,202.552,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.4,213.6036,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.45,229.57355,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.5,246.3875,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.55,261.43545,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.6,278.1714,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.65,300.13435,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.7,323.2533,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.75,354.4025,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.8,381.3566,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.85,404.2637,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.9,458.4958,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.95,529.88525,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.975,621.723875,4903185
01,2021-01-04,1 wk ahead inc death,2021-01-09,quantile,0.99,723.6626,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,point,,286.6885,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.01,57.8354,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.025,82.848375,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.05,107.9165,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.1,142.968,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.15,162.595,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.2,179.28,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.25,196.516,4903185
01,2021-01-04,2 wk ahead inc death,2021-01-16,quantile,0.3,213.216,4903185
