forecast_date,target,target_end_date,location,type,quantile,value,row
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.01,57,1
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.025,70,2
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.05,77,3
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.1,86,4
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.15,92,5
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.2,97,6
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.25,101,7
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.3,104,8
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.35,107,9
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.4,110,10
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.45,114,11
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.5,116,12
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.55,120,13
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.6,124,14
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.65,127,15
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.7,131,16
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.75,136,17
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.8,139,18
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.85,143,19
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.9,148,20
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.95,157,21
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.975,166,22
2020-10-19,1 wk ahead inc death,2020-10-24,01,quantile,0.99,172,23
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.01,49,24
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.025,60,25
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.05,68,26
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.1,79,27
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.15,87,28
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.2,94,29
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.25,100,30
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.3,105,31
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.35,109,32
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.4,112,33
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.45,116,34
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.5,121,35
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.55,125,36
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.6,129,37
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.65,132,38
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.7,136,39
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.75,140,40
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.8,144,41
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.85,150,42
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.9,158,43
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.95,169,44
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.975,177,45
2020-10-19,2 wk ahead inc death,2020-10-31,01,quantile,0.99,186,46
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.01,43,47
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.025,55,48
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.05,68,49
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.1,80,50
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.15,89,51
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.2,96,52
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.25,102,53
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.3,108,54
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.35,112,55
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.4,116,56
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.45,120,57
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.5,125,58
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.55,129,59
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.6,134,60
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.65,138,61
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.7,143,62
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.75,148,63
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.8,154,64
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.85,161,65
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.9,168,66
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.95,181,67
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.975,192,68
2020-10-19,3 wk ahead inc death,2020-11-07,01,quantile,0.99,199,69
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.01,42,70
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.025,50,71
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.05,65,72
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.1,77,73
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.15,88,74
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.2,96,75
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.25,102,76
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.3,109,77
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.35,114,78
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.4,118,79
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.45,123,80
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.5,128,81
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.55,132,82
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.6,137,83
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.65,143,84
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.7,148,85
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.75,155,86
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.8,160,87
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.85,167,88
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.9,178,89
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.95,196,90
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.975,206,91
2020-10-19,4 wk ahead inc death,2020-11-14,01,quantile,0.99,222,92
2020-10-19,1 wk ahead inc death,2020-10-24,01,point,NA,116,93
2020-10-19,2 wk ahead inc death,2020-10-31,01,point,NA,121,94
2020-10-19,3 wk ahead inc death,2020-11-07,01,point,NA,125,95
2020-10-19,4 wk ahead inc death,2020-11-14,01,point,NA,128,96
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.01,0,97
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.025,0,98
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.05,0,99
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.1,1,100
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.15,2,101
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.2,2,102
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.25,3,103
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.3,4,104
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.35,4,105
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.4,5,106
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.45,5,107
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.5,5,108
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.55,6,109
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.6,6,110
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.65,6,111
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.7,7,112
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.75,7,113
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.8,8,114
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.85,9,115
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.9,10,116
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.95,11,117
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.975,12,118
2020-10-19,1 wk ahead inc death,2020-10-24,02,quantile,0.99,13,119
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.01,0,120
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.025,0,121
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.05,0,122
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.1,0,123
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.15,1,124
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.2,2,125
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.25,3,126
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.3,3,127
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.35,4,128
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.4,4,129
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.45,5,130
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.5,5,131
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.55,6,132
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.6,6,133
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.65,7,134
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.7,7,135
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.75,8,136
