forecast_date,target,location,target_end_date,type,quantile,value
2020-11-09,1 wk ahead cum death,US,2020-11-14,point,NA,242229.33566433567
2020-11-09,2 wk ahead cum death,US,2020-11-21,point,NA,247943.23476523475
2020-11-09,3 wk ahead cum death,US,2020-11-28,point,NA,253897.1714951715
2020-11-09,4 wk ahead cum death,US,2020-12-05,point,NA,259955.17282717282
2020-11-09,5 wk ahead cum death,US,2020-12-12,point,NA,266189.1485181485
2020-11-09,6 wk ahead cum death,US,2020-12-19,point,NA,272492.1658341658
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.01,242059.02
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.025,242078.05
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.05,242106
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.1,242131.2
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.15,242153
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.2,242169
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.25,242181
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.3,242190.6
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.35,242201
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.4,242209
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.45,242220
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.5,242229
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.55,242238
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.6,242249
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.65,242258
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.7,242268
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.75,242278
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.8,242293
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.85,242308
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.9,242326
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.95,242352
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.975,242374
2020-11-09,1 wk ahead cum death,US,2020-11-14,quantile,0.99,242397.97999999998
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.01,247678.04
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.025,247714
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.05,247750
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.1,247789
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.15,247817
2020-11-09,2 wk ahead cum death,US,2020-11-21,quantile,0.2,247838
