forecast_date,target,location,target_end_date,type,quantile,value
2020-08-17,1 wk ahead cum death,US,2020-08-22,point,NA,176167.57964257963
2020-08-17,2 wk ahead cum death,US,2020-08-29,point,NA,183189.0128760129
2020-08-17,3 wk ahead cum death,US,2020-09-05,point,NA,190260.94146594146
2020-08-17,4 wk ahead cum death,US,2020-09-12,point,NA,197608.90931290932
2020-08-17,5 wk ahead cum death,US,2020-09-19,point,NA,205461.13445813445
2020-08-17,6 wk ahead cum death,US,2020-09-26,point,NA,214179.03256003256
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.01,174789.26
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.025,174840.65
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.05,174892
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.1,175010
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.15,175266
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.2,175382
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.25,175550
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.3,175667
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.35,175807
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.4,175925
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.45,176047
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.5,176163
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.55,176279.3
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.6,176397
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.65,176501
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.7,176599
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.75,176700
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.8,176875.8
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.85,177038
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.9,177414.40000000002
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.95,177588
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.975,177666
2020-08-17,1 wk ahead cum death,US,2020-08-22,quantile,0.99,177745.74
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.01,180182.26
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.025,180276
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.05,180372
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.1,180560
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.15,180824
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.2,181052
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.25,181387
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.3,181615
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.35,182150
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.4,182416
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.45,182805
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.5,183099
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.55,183428
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.6,183822
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.65,184076.9
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.7,184324
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.75,184524
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.8,185122.80000000002
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.85,185533.09999999998
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.9,186464
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.95,186772.7
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.975,186924.35
2020-08-17,2 wk ahead cum death,US,2020-08-29,quantile,0.99,187079
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.01,185522
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.025,185643
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.05,185767
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.1,185938
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.15,186096.9
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.2,186313
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.25,186683
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.3,187029
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.35,188304
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.4,188712
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.45,189556
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.5,190068
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.55,190635.6
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.6,191445
2020-08-17,3 wk ahead cum death,US,2020-09-05,quantile,0.65,191875.9
