forecast_date,target,location,target_end_date,type,quantile,value
2020-10-26,1 wk ahead cum death,US,2020-10-31,point,NA,229119.61804861805
2020-10-26,2 wk ahead cum death,US,2020-11-07,point,NA,233665.74192474192
2020-10-26,3 wk ahead cum death,US,2020-11-14,point,NA,238233.342990343
2020-10-26,4 wk ahead cum death,US,2020-11-21,point,NA,242830.8315018315
2020-10-26,5 wk ahead cum death,US,2020-11-28,point,NA,247565.2877122877
2020-10-26,6 wk ahead cum death,US,2020-12-05,point,NA,252462.27272727274
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.01,228966
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.025,228991.05
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.05,229014
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.1,229037
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.15,229054
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.2,229067
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.25,229078.5
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.3,229087
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.35,229095
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.4,229104
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.45,229112
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.5,229120
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.55,229128
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.6,229136
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.65,229143
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.7,229153
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.75,229162
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.8,229172
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.85,229184.7
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.9,229202
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.95,229224.9
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.975,229244.94999999998
2020-10-26,1 wk ahead cum death,US,2020-10-31,quantile,0.99,229266
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.01,233429.02
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.025,233474
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.05,233505
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.1,233541
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.15,233564
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.2,233585
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.25,233603
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.3,233618
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.35,233630
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.4,233642
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.45,233654
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.5,233666
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.55,233679
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.6,233690
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.65,233704
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.7,233717
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.75,233731
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.8,233751
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.85,233767.7
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.9,233789
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.95,233823
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.975,233847.94999999998
2020-10-26,2 wk ahead cum death,US,2020-11-07,quantile,0.99,233883
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.01,237944
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.025,237991.05000000002
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.05,238026
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.1,238076
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.15,238103
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.2,238129
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.25,238151
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.3,238169
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.35,238186
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.4,238203
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.45,238217
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.5,238231
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.55,238246.09999999998
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.6,238263
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.65,238281
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.7,238297
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.75,238318
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.8,238338.59999999998
2020-10-26,3 wk ahead cum death,US,2020-11-14,quantile,0.85,238362.7
