forecast_date,target,location,target_end_date,type,quantile,value
2020-09-06,1 wk ahead cum death,US,2020-09-12,point,NA,193771.48814148814
2020-09-06,2 wk ahead cum death,US,2020-09-19,point,NA,198829.7411107411
2020-09-06,3 wk ahead cum death,US,2020-09-26,point,NA,203989.3674103674
2020-09-06,4 wk ahead cum death,US,2020-10-03,point,NA,209661.9076849077
2020-09-06,5 wk ahead cum death,US,2020-10-10,point,NA,216169.98745698747
2020-09-06,6 wk ahead cum death,US,2020-10-17,point,NA,223594.75561475562
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.01,192880.26
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.025,192933
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.05,192982
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.1,193043
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.15,193102
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.2,193189
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.25,193472
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.3,193559
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.35,193629
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.4,193689
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.45,193738
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.5,193780
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.55,193819
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.6,193865
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.65,193929
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.7,194016
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.75,194092
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.8,194166
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.85,194254.1
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.9,194576
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.95,194704
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.975,194764
2020-09-06,1 wk ahead cum death,US,2020-09-12,quantile,0.99,194821.74000000002
2020-09-06,2 wk ahead cum death,US,2020-09-19,quantile,0.01,196800
