forecast_date,target,target_end_date,type,quantile,location,value
2022-01-23,1 wk ahead cum death,2022-01-29,0.000,quantile,37,20502.903
2022-01-23,2 wk ahead cum death,2022-02-05,0.000,quantile,37,20709.042999999998
2022-01-23,3 wk ahead cum death,2022-02-12,0.000,quantile,37,20935.797
2022-01-23,4 wk ahead cum death,2022-02-19,0.000,quantile,37,21049.174
2022-01-23,5 wk ahead cum death,2022-02-26,0.000,quantile,37,21121.323
2022-01-23,6 wk ahead cum death,2022-03-05,0.000,quantile,37,21152.244
2022-01-23,7 wk ahead cum death,2022-03-12,0.000,quantile,37,21203.779
2022-01-23,8 wk ahead cum death,2022-03-19,0.000,quantile,37,21234.7
2022-01-23,9 wk ahead cum death,2022-03-26,0.000,quantile,37,21234.7
2022-01-23,10 wk ahead cum death,2022-04-02,0.000,quantile,37,21255.314
2022-01-23,11 wk ahead cum death,2022-04-09,0.000,quantile,37,21255.314
2022-01-23,12 wk ahead cum death,2022-04-16,0.000,quantile,37,21255.314
2022-01-23,1 wk ahead cum death,2022-01-29,0.010,quantile,37,20498.47099
2022-01-23,2 wk ahead cum death,2022-02-05,0.010,quantile,37,20731.203049999996
2022-01-23,3 wk ahead cum death,2022-02-12,0.010,quantile,37,20953.52504
2022-01-23,4 wk ahead cum death,2022-02-19,0.010,quantile,37,21075.76606
2022-01-23,5 wk ahead cum death,2022-02-26,0.010,quantile,37,21147.91506
2022-01-23,6 wk ahead cum death,2022-03-05,0.010,quantile,37,21178.83606
2022-01-23,7 wk ahead cum death,2022-03-12,0.010,quantile,37,21221.507039999997
2022-01-23,8 wk ahead cum death,2022-03-19,0.010,quantile,37,21239.13201
2022-01-23,9 wk ahead cum death,2022-03-26,0.010,quantile,37,21239.13201
2022-01-23,10 wk ahead cum death,2022-04-02,0.010,quantile,37,21250.88199
2022-01-23,11 wk ahead cum death,2022-04-09,0.010,quantile,37,21250.88199
2022-01-23,12 wk ahead cum death,2022-04-16,0.010,quantile,37,21250.88199
2022-01-23,1 wk ahead cum death,2022-01-29,0.025,quantile,37,20494.915074999997
2022-01-23,2 wk ahead cum death,2022-02-05,0.025,quantile,37,20759.804974999995
2022-01-23,3 wk ahead cum death,2022-02-12,0.025,quantile,37,20974.705924999995
2022-01-23,4 wk ahead cum death,2022-02-19,0.025,quantile,37,21107.150875
2022-01-23,5 wk ahead cum death,2022-02-26,0.025,quantile,37,21176.980799999994
2022-01-23,6 wk ahead cum death,2022-03-05,0.025,quantile,37,21207.901799999996
2022-01-23,7 wk ahead cum death,2022-03-12,0.025,quantile,37,21238.049774999996
2022-01-23,8 wk ahead cum death,2022-03-19,0.025,quantile,37,21239.595824999997
2022-01-23,9 wk ahead cum death,2022-03-26,0.025,quantile,37,21239.595824999997
2022-01-23,10 wk ahead cum death,2022-04-02,0.025,quantile,37,21239.595824999997
2022-01-23,11 wk ahead cum death,2022-04-09,0.025,quantile,37,21239.595824999997
2022-01-23,12 wk ahead cum death,2022-04-16,0.025,quantile,37,21239.595824999997
2022-01-23,1 wk ahead cum death,2022-01-29,0.050,quantile,37,20520.4249
2022-01-23,2 wk ahead cum death,2022-02-05,0.050,quantile,37,20747.178900000003
2022-01-23,3 wk ahead cum death,2022-02-12,0.050,quantile,37,20946.104
2022-01-23,4 wk ahead cum death,2022-02-19,0.050,quantile,37,21057.934950000003
2022-01-23,5 wk ahead cum death,2022-02-26,0.050,quantile,37,21097.6169
2022-01-23,6 wk ahead cum death,2022-03-05,0.050,quantile,37,21133.176050000002
2022-01-23,7 wk ahead cum death,2022-03-12,0.050,quantile,37,21150.69795
2022-01-23,8 wk ahead cum death,2022-03-19,0.050,quantile,37,21169.765900000002
2022-01-23,9 wk ahead cum death,2022-03-26,0.050,quantile,37,21171.31195
2022-01-23,10 wk ahead cum death,2022-04-02,0.050,quantile,37,21171.31195
2022-01-23,11 wk ahead cum death,2022-04-09,0.050,quantile,37,21171.31195
2022-01-23,12 wk ahead cum death,2022-04-16,0.050,quantile,37,21171.31195
2022-01-23,1 wk ahead cum death,2022-01-29,0.100,quantile,37,20514.2407
2022-01-23,2 wk ahead cum death,2022-02-05,0.100,quantile,37,20772.946399999997
2022-01-23,3 wk ahead cum death,2022-02-12,0.100,quantile,37,21011.038099999998
2022-01-23,4 wk ahead cum death,2022-02-19,0.100,quantile,37,21086.2792
2022-01-23,5 wk ahead cum death,2022-02-26,0.100,quantile,37,21136.783499999998
2022-01-23,6 wk ahead cum death,2022-03-05,0.100,quantile,37,21166.6738
2022-01-23,7 wk ahead cum death,2022-03-12,0.100,quantile,37,21193.471999999998
2022-01-23,8 wk ahead cum death,2022-03-19,0.100,quantile,37,21207.9018
2022-01-23,9 wk ahead cum death,2022-03-26,0.100,quantile,37,21207.9018
2022-01-23,10 wk ahead cum death,2022-04-02,0.100,quantile,37,21207.9018
2022-01-23,11 wk ahead cum death,2022-04-09,0.100,quantile,37,21207.9018
2022-01-23,12 wk ahead cum death,2022-04-16,0.100,quantile,37,21207.9018
2022-01-23,1 wk ahead cum death,2022-01-29,0.150,quantile,37,20575.051999999996
2022-01-23,2 wk ahead cum death,2022-02-05,0.150,quantile,37,20829.634899999997
2022-01-23,3 wk ahead cum death,2022-02-12,0.150,quantile,37,21017.2223
2022-01-23,4 wk ahead cum death,2022-02-19,0.150,quantile,37,21119.261599999998
2022-01-23,5 wk ahead cum death,2022-02-26,0.150,quantile,37,21188.833849999995
2022-01-23,6 wk ahead cum death,2022-03-05,0.150,quantile,37,21231.09255
2022-01-23,7 wk ahead cum death,2022-03-12,0.150,quantile,37,21246.0377
2022-01-23,8 wk ahead cum death,2022-03-19,0.150,quantile,37,21256.344699999998
2022-01-23,9 wk ahead cum death,2022-03-26,0.150,quantile,37,21262.01355
2022-01-23,10 wk ahead cum death,2022-04-02,0.150,quantile,37,21266.651700000002
2022-01-23,11 wk ahead cum death,2022-04-09,0.150,quantile,37,21266.651700000002
2022-01-23,12 wk ahead cum death,2022-04-16,0.150,quantile,37,21266.651700000002
2022-01-23,1 wk ahead cum death,2022-01-29,0.200,quantile,37,20589.4818
2022-01-23,2 wk ahead cum death,2022-02-05,0.200,quantile,37,20869.8322
2022-01-23,3 wk ahead cum death,2022-02-12,0.200,quantile,37,21065.665200000003
2022-01-23,4 wk ahead cum death,2022-02-19,0.200,quantile,37,21162.551
2022-01-23,5 wk ahead cum death,2022-02-26,0.200,quantile,37,21195.5334
2022-01-23,6 wk ahead cum death,2022-03-05,0.200,quantile,37,21230.5772
2022-01-23,7 wk ahead cum death,2022-03-12,0.200,quantile,37,21259.436800000003
2022-01-23,8 wk ahead cum death,2022-03-19,0.200,quantile,37,21265.621
2022-01-23,9 wk ahead cum death,2022-03-26,0.200,quantile,37,21280.050800000005
2022-01-23,10 wk ahead cum death,2022-04-02,0.200,quantile,37,21280.050800000005
