location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility
01,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
01,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
01,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
01,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
01,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
01,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
01,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
01,SWC-TerminusCM,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
01,UMass-MechBayes,eligible,"NA","NA",eligible
01,USACE-ERDC_SEIR,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
01,UT-Mobility,eligible,"NA","NA",eligible
01,YYG-ParamSearch,eligible,"NA","NA",eligible
02,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
02,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
02,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
02,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
02,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
02,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
02,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
02,SWC-TerminusCM,missing required forecasts,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
02,UMass-MechBayes,eligible,"NA","NA",eligible
02,USACE-ERDC_SEIR,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
02,UT-Mobility,eligible,"NA","NA",eligible
02,YYG-ParamSearch,eligible,"NA","NA",eligible
04,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
04,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
04,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
04,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
04,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
04,SWC-TerminusCM,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UMass-MechBayes,eligible,"NA","NA",eligible
04,USACE-ERDC_SEIR,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UT-Mobility,eligible,"NA","NA",eligible
04,YYG-ParamSearch,eligible,"NA","NA",eligible
05,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
05,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
05,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
05,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
05,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
05,SWC-TerminusCM,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UMass-MechBayes,eligible,"NA","NA",eligible
05,USACE-ERDC_SEIR,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UT-Mobility,eligible,"NA","NA",eligible
05,YYG-ParamSearch,eligible,"NA","NA",eligible
06,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
06,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
06,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
06,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
06,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
06,SWC-TerminusCM,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UMass-MechBayes,eligible,"NA","NA",eligible
06,USACE-ERDC_SEIR,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UT-Mobility,eligible,"NA","NA",eligible
06,YYG-ParamSearch,eligible,"NA","NA",eligible
08,CAN-SEIR_CAN,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
08,IHME-CurveFit,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
08,JHU_IDD-CovidSP,eligible,"NA","NA",eligible
08,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
08,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
08,SWC-TerminusCM,eligible,"NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,UMass-MechBayes,eligible,"NA","NA",eligible
