BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,CU-select,CUB_PopCouncil-SLSTM,GT-DeepCOVID,JHU_IDD-CovidSP,JHUAPL-Bucky,Karlen-pypm,LUcompUncertLab-VAR_3streams,PSI-DICE,UMass-trends_ensemble,USC-SI_kJalpha,locations
0,0,0,0,0,0,0,1,0,1,0,0,0,66
0,0,0,0,0,0,0,1,0,1,0,0,0,69
0,0,1,0,0,0,0,1,0,1,0,0,1,60
0,0,1,0,0,0,0,1,0,1,1,1,1,78
1,1,1,0,0,0,0,1,1,1,1,1,1,72
1,1,1,1,1,0,1,1,1,1,1,1,1,15
1,1,1,1,1,0,1,1,1,1,1,1,1,26
1,1,1,1,1,0,1,1,1,1,1,1,1,31
1,1,1,1,1,0,1,1,1,1,1,1,1,34
1,1,1,1,1,0,1,1,1,1,1,1,1,38
1,1,1,1,1,1,1,1,1,1,1,1,1,01
1,1,1,1,1,1,1,1,1,1,1,1,1,02
1,1,1,1,1,1,1,1,1,1,1,1,1,04
1,1,1,1,1,1,1,1,1,1,1,1,1,05
1,1,1,1,1,1,1,1,1,1,1,1,1,06
1,1,1,1,1,1,1,1,1,1,1,1,1,08
1,1,1,1,1,1,1,1,1,1,1,1,1,09
1,1,1,1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,1,1,1,1,1,1,1,1,11
1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,13
1,1,1,1,1,1,1,1,1,1,1,1,1,16
1,1,1,1,1,1,1,1,1,1,1,1,1,17
1,1,1,1,1,1,1,1,1,1,1,1,1,18
1,1,1,1,1,1,1,1,1,1,1,1,1,19
1,1,1,1,1,1,1,1,1,1,1,1,1,20
1,1,1,1,1,1,1,1,1,1,1,1,1,21
1,1,1,1,1,1,1,1,1,1,1,1,1,22
1,1,1,1,1,1,1,1,1,1,1,1,1,23
1,1,1,1,1,1,1,1,1,1,1,1,1,24
1,1,1,1,1,1,1,1,1,1,1,1,1,25
1,1,1,1,1,1,1,1,1,1,1,1,1,27
1,1,1,1,1,1,1,1,1,1,1,1,1,28
1,1,1,1,1,1,1,1,1,1,1,1,1,29
1,1,1,1,1,1,1,1,1,1,1,1,1,30
1,1,1,1,1,1,1,1,1,1,1,1,1,32
1,1,1,1,1,1,1,1,1,1,1,1,1,33
1,1,1,1,1,1,1,1,1,1,1,1,1,35
1,1,1,1,1,1,1,1,1,1,1,1,1,36
1,1,1,1,1,1,1,1,1,1,1,1,1,37
1,1,1,1,1,1,1,1,1,1,1,1,1,39
1,1,1,1,1,1,1,1,1,1,1,1,1,40
1,1,1,1,1,1,1,1,1,1,1,1,1,41
1,1,1,1,1,1,1,1,1,1,1,1,1,42
1,1,1,1,1,1,1,1,1,1,1,1,1,44
1,1,1,1,1,1,1,1,1,1,1,1,1,45
1,1,1,1,1,1,1,1,1,1,1,1,1,46
1,1,1,1,1,1,1,1,1,1,1,1,1,47
1,1,1,1,1,1,1,1,1,1,1,1,1,48
1,1,1,1,1,1,1,1,1,1,1,1,1,49
1,1,1,1,1,1,1,1,1,1,1,1,1,50
1,1,1,1,1,1,1,1,1,1,1,1,1,51
1,1,1,1,1,1,1,1,1,1,1,1,1,53
1,1,1,1,1,1,1,1,1,1,1,1,1,54
1,1,1,1,1,1,1,1,1,1,1,1,1,55
1,1,1,1,1,1,1,1,1,1,1,1,1,56
1,1,1,1,1,1,1,1,1,1,1,1,1,US
