location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility,location_abbreviation,location_name
01,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AL,Alabama
01,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,AL,Alabama
01,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,AL,Alabama
01,CU-select,eligible,eligible,eligible,eligible,AL,Alabama
01,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AL,Alabama
01,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,AL,Alabama
01,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AL,Alabama
01,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AL,Alabama
01,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,AL,Alabama
01,LANL-GrowthRate,eligible,eligible,eligible,eligible,AL,Alabama
01,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,AL,Alabama
01,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AL,Alabama
01,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AL,Alabama
01,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AL,Alabama
01,UCLA-SuEIR,eligible,eligible,eligible,eligible,AL,Alabama
01,UMass-MechBayes,eligible,eligible,eligible,eligible,AL,Alabama
01,UT-Mobility,eligible,eligible,eligible,eligible,AL,Alabama
01,YYG-ParamSearch,eligible,eligible,eligible,eligible,AL,Alabama
02,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AK,Alaska
02,CAN-SEIR_CAN,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AK,Alaska
02,CovidAnalytics-DELPHI,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AK,Alaska
02,CU-select,eligible,eligible,eligible,eligible,AK,Alaska
02,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AK,Alaska
02,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AK,Alaska
02,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AK,Alaska
02,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,AK,Alaska
02,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,AK,Alaska
02,LANL-GrowthRate,eligible,eligible,eligible,eligible,AK,Alaska
02,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,AK,Alaska
02,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AK,Alaska
02,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AK,Alaska
02,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AK,Alaska
02,UCLA-SuEIR,eligible,eligible,eligible,eligible,AK,Alaska
02,UMass-MechBayes,eligible,eligible,eligible,eligible,AK,Alaska
02,UT-Mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AK,Alaska
02,YYG-ParamSearch,eligible,eligible,eligible,eligible,AK,Alaska
04,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AZ,Arizona
04,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,AZ,Arizona
04,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,AZ,Arizona
04,CU-select,eligible,eligible,eligible,eligible,AZ,Arizona
04,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AZ,Arizona
04,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,AZ,Arizona
04,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AZ,Arizona
04,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AZ,Arizona
04,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,AZ,Arizona
04,LANL-GrowthRate,eligible,eligible,eligible,eligible,AZ,Arizona
04,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,AZ,Arizona
04,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AZ,Arizona
04,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AZ,Arizona
04,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AZ,Arizona
04,UCLA-SuEIR,eligible,eligible,eligible,eligible,AZ,Arizona
04,UMass-MechBayes,eligible,eligible,eligible,eligible,AZ,Arizona
04,UT-Mobility,eligible,eligible,eligible,eligible,AZ,Arizona
04,YYG-ParamSearch,eligible,eligible,eligible,eligible,AZ,Arizona
05,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AR,Arkansas
05,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,AR,Arkansas
05,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,AR,Arkansas
05,CU-select,eligible,eligible,eligible,eligible,AR,Arkansas
05,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AR,Arkansas
05,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AR,Arkansas
05,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AR,Arkansas
05,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AR,Arkansas
05,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,AR,Arkansas
05,LANL-GrowthRate,eligible,eligible,eligible,eligible,AR,Arkansas
05,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,AR,Arkansas
05,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,AR,Arkansas
05,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,AR,Arkansas
05,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,AR,Arkansas
05,UCLA-SuEIR,eligible,eligible,eligible,eligible,AR,Arkansas
05,UMass-MechBayes,eligible,eligible,eligible,eligible,AR,Arkansas
05,UT-Mobility,eligible,eligible,eligible,eligible,AR,Arkansas
05,YYG-ParamSearch,eligible,eligible,eligible,eligible,AR,Arkansas
06,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CA,California
06,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,CA,California
06,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,CA,California
06,CU-select,eligible,eligible,eligible,eligible,CA,California
06,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CA,California
06,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CA,California
06,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CA,California
06,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CA,California
06,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,CA,California
06,LANL-GrowthRate,eligible,eligible,eligible,eligible,CA,California
06,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,CA,California
06,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CA,California
06,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,CA,California
06,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CA,California
06,UCLA-SuEIR,eligible,eligible,eligible,eligible,CA,California
06,UMass-MechBayes,eligible,eligible,eligible,eligible,CA,California
06,UT-Mobility,eligible,eligible,eligible,eligible,CA,California
06,YYG-ParamSearch,eligible,eligible,eligible,eligible,CA,California
08,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CO,Colorado
08,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,CO,Colorado
08,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,CO,Colorado
08,CU-select,eligible,eligible,eligible,eligible,CO,Colorado
08,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CO,Colorado
08,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CO,Colorado
08,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CO,Colorado
08,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CO,Colorado
08,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,CO,Colorado
08,LANL-GrowthRate,eligible,eligible,eligible,eligible,CO,Colorado
08,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,CO,Colorado
08,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CO,Colorado
08,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,CO,Colorado
08,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CO,Colorado
08,UCLA-SuEIR,eligible,eligible,eligible,eligible,CO,Colorado
08,UMass-MechBayes,eligible,eligible,eligible,eligible,CO,Colorado
08,UT-Mobility,eligible,eligible,eligible,eligible,CO,Colorado
08,YYG-ParamSearch,eligible,eligible,eligible,eligible,CO,Colorado
09,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CT,Connecticut
09,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,CT,Connecticut
09,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,CT,Connecticut
09,CU-select,eligible,eligible,eligible,eligible,CT,Connecticut
09,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CT,Connecticut
09,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,CT,Connecticut
09,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CT,Connecticut
09,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CT,Connecticut
09,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,CT,Connecticut
09,LANL-GrowthRate,eligible,eligible,eligible,eligible,CT,Connecticut
09,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,CT,Connecticut
