location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility
01,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
01,CAN-SEIR_CAN,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
01,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
01,CU-select,eligible,eligible,eligible,eligible
01,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
01,IHME-CurveFit,eligible,eligible,eligible,eligible
01,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
01,IowaStateLW-STEM,eligible,eligible,eligible,eligible
01,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible
01,LANL-GrowthRate,eligible,eligible,eligible,eligible
01,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
01,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
01,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
01,SWC-TerminusCM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
01,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
01,UCLA-SuEIR,eligible,eligible,eligible,eligible
01,UMass-MechBayes,eligible,eligible,eligible,eligible
01,USACE-ERDC_SEIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
01,UT-Mobility,eligible,eligible,eligible,eligible
01,YYG-ParamSearch,eligible,eligible,eligible,eligible
02,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
02,CAN-SEIR_CAN,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,Visual misalignment of predictive quantiles with JHU reference data.
02,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
02,CU-select,eligible,eligible,eligible,eligible
02,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
02,IHME-CurveFit,eligible,eligible,eligible,eligible
02,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
02,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
02,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible
02,LANL-GrowthRate,eligible,eligible,eligible,eligible
02,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
02,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
02,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
02,SWC-TerminusCM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.
02,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.
02,UCLA-SuEIR,eligible,eligible,eligible,eligible
