location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
01,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,CEID-Walk,eligible,eligible,eligible,"NA",eligible
01,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
01,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
01,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,CU-select,eligible,eligible,eligible,"NA",eligible
01,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
01,epiforecasts-ensemble1,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
01,Google_Harvard-CPF,missing required forecasts,quantile 0.1 of forecast for horizon 1 is less than most recent observed,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
01,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
01,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
01,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
01,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
01,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
01,LNQ-ens1,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,MITCovAlliance-SIR,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
01,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
01,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
01,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
01,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,RobertWalraven-ESG,eligible,eligible,eligible,"NA",eligible
01,RPI_UW-Mob_Collision,eligible,eligible,eligible,"NA",eligible
01,SteveMcConnell-CovidComplete,eligible,eligible,eligible,"NA",eligible
01,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
01,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
01,UCM_MESALab-FoGSEIR,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
01,UMich-RidgeTfReg,eligible,eligible,eligible,"NA",eligible
01,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
01,UT-Mobility,eligible,eligible,eligible,"NA",eligible
01,WalmartLabsML-LogForecasting,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
02,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,CEID-Walk,eligible,eligible,eligible,"NA",eligible
02,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
02,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
02,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,CU-select,eligible,eligible,eligible,"NA",eligible
02,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
02,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,Google_Harvard-CPF,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
02,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
02,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
02,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
02,LNQ-ens1,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,MITCovAlliance-SIR,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
02,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
02,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
02,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
02,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,RobertWalraven-ESG,eligible,eligible,decreasing quantiles over time,"NA",ineligible
02,RPI_UW-Mob_Collision,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,SteveMcConnell-CovidComplete,eligible,eligible,eligible,"NA",eligible
02,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
02,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
02,UCM_MESALab-FoGSEIR,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
02,UMich-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
02,UT-Mobility,eligible,eligible,eligible,"NA",eligible
02,WalmartLabsML-LogForecasting,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
04,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,CEID-Walk,eligible,eligible,eligible,"NA",eligible
04,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
04,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
04,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,CU-select,eligible,eligible,eligible,"NA",eligible
04,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
04,epiforecasts-ensemble1,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
04,Google_Harvard-CPF,missing required forecasts,quantile 0.1 of forecast for horizon 1 is less than most recent observed,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
04,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
04,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
04,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
04,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
04,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
04,LNQ-ens1,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,MITCovAlliance-SIR,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
04,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
