location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
01,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
01,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
01,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
01,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
01,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
01,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
01,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
01,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
01,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
01,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
01,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
01,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
01,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
01,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
01,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
01,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
01,UT-Mobility,eligible,eligible,eligible,"NA",eligible
01,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
02,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
02,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
02,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
02,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,JHU_IDD-CovidSP,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
02,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
02,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
02,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
02,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
02,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
02,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
02,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
02,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
02,UT-Mobility,eligible,eligible,eligible,"NA",eligible
02,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
04,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
04,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
04,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
04,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
04,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
04,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
04,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
04,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
04,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
04,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
04,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
04,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
04,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
04,RobertWalraven-ESG,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
04,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
04,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UT-Mobility,eligible,eligible,eligible,"NA",eligible
04,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
05,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
05,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
05,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
05,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
05,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
05,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
05,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
05,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
05,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
05,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
05,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
05,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
05,RobertWalraven-ESG,eligible,eligible,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
05,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
05,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UT-Mobility,eligible,eligible,eligible,"NA",eligible
05,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
06,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
06,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
06,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
06,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
06,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
06,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
06,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
06,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
06,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
06,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
06,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
06,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
06,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
06,RobertWalraven-ESG,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
06,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
06,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UT-Mobility,eligible,eligible,eligible,"NA",eligible
06,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
08,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
08,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
08,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
08,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
08,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
08,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
08,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
08,MITCovAlliance-SIR,eligible,eligible,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
08,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
08,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
08,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
08,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
08,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
08,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
08,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
08,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
08,UT-Mobility,eligible,eligible,eligible,"NA",eligible
08,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
09,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
09,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
09,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
09,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
09,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
09,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
09,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
09,MITCovAlliance-SIR,eligible,eligible,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
09,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
09,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
09,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
09,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
09,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
09,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
09,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
09,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
09,UT-Mobility,eligible,eligible,eligible,"NA",eligible
09,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
10,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
10,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
10,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
10,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
10,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
10,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
10,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
10,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
10,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
10,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
10,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
10,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
10,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
10,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
10,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
10,UT-Mobility,eligible,eligible,eligible,"NA",eligible
