forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.01,14676,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.025,18710,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.05,21434,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.1,24672,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.15,26981,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.2,29058,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.25,30791,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.3,32601,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.35,34392,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.4,36418,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.45,38523,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.5,41071,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,point,NA,41071,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.55,44451,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.6,48922,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.65,57184,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.7,65198,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.75,71165,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.8,75301,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.85,80234,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.9,86331,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.95,93331,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.975,98060,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,AT,quantile,0.99,101984,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.01,60264,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.025,70611,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.05,79343,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.1,89428,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.15,96062,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.2,101254,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.25,104799,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.3,108899,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.35,112616,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.4,116511,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.45,120427,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.5,124382,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,point,NA,124382,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.55,128392,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.6,132588,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.65,137289,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.7,142999,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.75,148169,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.8,155429,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.85,163524,forecast
2022-01-10,1 wk ahead inc case,2022-01-15,BE,quantile,0.9,176607,forecast
