forecast_date,target_end_date,location,target,quantile,value,type
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.01,722.591117818645,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.025,789.0781129388581,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.05,853.7678590606926,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.1,922.7828097633994,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.15,966.9539182289661,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.2,1004.3185363179637,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.25,1037.2386889495915,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.3,1065.627869392494,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.35,1092.1693789692877,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.4,1115.9536754965036,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.45,1138.7235993065083,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.5,1161.8130373811814,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.55,1185.3695035656087,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.6,1208.6727067425918,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.65,1233.1260362118878,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.7,1260.704473439325,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.75,1288.8307265816666,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.8,1320.432007251796,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.85,1357.8507497188173,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.9,1404.510290369538,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.95,1473.9470563975422,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.975,1537.0723602947937,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid case,0.99,1604.5864108765072,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.01,-10.73754054693452,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.025,-8.48083096175662,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.05,-6.427960633753587,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.1,-4.094825077958791,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.15,-2.43536988512293,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.2,-1.084147629796017,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.25,0.006605243072155931,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.3,0.980255927142153,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.35,1.8636125843813867,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.4,2.75021290746946,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.45,3.554187710784928,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.5,4.392363074005283,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.55,5.213651251311251,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.6,6.063709286838738,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.65,6.884293139897069,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.7,7.807906392378376,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.75,8.782209369529253,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.8,9.818169623805954,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.85,11.099015039150697,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.9,12.661356194605201,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.95,15.082352179467794,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.975,16.99277142860273,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid death,0.99,19.297270142888426,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.01,45.10832808097681,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.025,47.09589383054977,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.05,48.75994838607153,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.1,50.828563746041546,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.15,52.1816699014018,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.2,53.27981660613753,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.25,54.198146423960935,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.3,55.005537382041055,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.35,55.72203477065397,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.4,56.45134317501001,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.45,57.174856024202334,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.5,57.83578682637234,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.55,58.50325312075038,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.6,59.175280421100595,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.65,59.90097991959065,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.7,60.699710069704494,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.75,61.545711432131384,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.8,62.448991383247574,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.85,63.544617780577674,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.9,64.86616871986335,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.95,66.87806605246196,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.975,68.54326491353659,quantile
2022-02-07,2022-02-12,10,1 wk ahead inc covid hosp,0.99,70.50235407631281,quantile
2022-02-07,2022-02-19,10,2 wk ahead inc covid case,0.01,609.9980745292455,quantile
2022-02-07,2022-02-19,10,2 wk ahead inc covid case,0.025,682.4167519675821,quantile
2022-02-07,2022-02-19,10,2 wk ahead inc covid case,0.05,748.7018795842487,quantile
2022-02-07,2022-02-19,10,2 wk ahead inc covid case,0.1,822.455797889373,quantile
2022-02-07,2022-02-19,10,2 wk ahead inc covid case,0.15,870.9032508419676,quantile
