timezero,unit,target,value
2020-01-13,01,1 wk ahead cum death,0
2020-01-13,01,1 wk ahead inc death,0.0
2020-01-13,02,1 wk ahead cum death,0
2020-01-13,02,1 wk ahead inc death,0.0
2020-01-13,04,1 wk ahead cum death,0
2020-01-13,04,1 wk ahead inc death,0.0
2020-01-13,05,1 wk ahead cum death,0
2020-01-13,05,1 wk ahead inc death,0.0
2020-01-13,06,1 wk ahead cum death,0
2020-01-13,06,1 wk ahead inc death,0.0
2020-01-13,08,1 wk ahead cum death,0
2020-01-13,08,1 wk ahead inc death,0.0
2020-01-13,09,1 wk ahead cum death,0
2020-01-13,09,1 wk ahead inc death,0.0
2020-01-13,10,1 wk ahead cum death,0
2020-01-13,10,1 wk ahead inc death,0.0
2020-01-13,11,1 wk ahead cum death,0
2020-01-13,11,1 wk ahead inc death,0.0
2020-01-13,12,1 wk ahead cum death,0
2020-01-13,12,1 wk ahead inc death,0.0
2020-01-13,13,1 wk ahead cum death,0
2020-01-13,13,1 wk ahead inc death,0.0
2020-01-13,15,1 wk ahead cum death,0
2020-01-13,15,1 wk ahead inc death,0.0
2020-01-13,16,1 wk ahead cum death,0
2020-01-13,16,1 wk ahead inc death,0.0
2020-01-13,17,1 wk ahead cum death,0
2020-01-13,17,1 wk ahead inc death,0.0
2020-01-13,18,1 wk ahead cum death,0
2020-01-13,18,1 wk ahead inc death,0.0
2020-01-13,19,1 wk ahead cum death,0
2020-01-13,19,1 wk ahead inc death,0.0
2020-01-13,20,1 wk ahead cum death,0
2020-01-13,20,1 wk ahead inc death,0.0
2020-01-13,21,1 wk ahead cum death,0
2020-01-13,21,1 wk ahead inc death,0.0
2020-01-13,22,1 wk ahead cum death,0
2020-01-13,22,1 wk ahead inc death,0.0
2020-01-13,23,1 wk ahead cum death,0
2020-01-13,23,1 wk ahead inc death,0.0
2020-01-13,24,1 wk ahead cum death,0
2020-01-13,24,1 wk ahead inc death,0.0
2020-01-13,25,1 wk ahead cum death,0
2020-01-13,25,1 wk ahead inc death,0.0
2020-01-13,26,1 wk ahead cum death,0
2020-01-13,26,1 wk ahead inc death,0.0
2020-01-13,27,1 wk ahead cum death,0
2020-01-13,27,1 wk ahead inc death,0.0
2020-01-13,28,1 wk ahead cum death,0
2020-01-13,28,1 wk ahead inc death,0.0
2020-01-13,29,1 wk ahead cum death,0
2020-01-13,29,1 wk ahead inc death,0.0
2020-01-13,30,1 wk ahead cum death,0
2020-01-13,30,1 wk ahead inc death,0.0
2020-01-13,31,1 wk ahead cum death,0
2020-01-13,31,1 wk ahead inc death,0.0
2020-01-13,32,1 wk ahead cum death,0
2020-01-13,32,1 wk ahead inc death,0.0
2020-01-13,33,1 wk ahead cum death,0
2020-01-13,33,1 wk ahead inc death,0.0
2020-01-13,34,1 wk ahead cum death,0
2020-01-13,34,1 wk ahead inc death,0.0
2020-01-13,35,1 wk ahead cum death,0
2020-01-13,35,1 wk ahead inc death,0.0
2020-01-13,36,1 wk ahead cum death,0
2020-01-13,36,1 wk ahead inc death,0.0
2020-01-13,37,1 wk ahead cum death,0
2020-01-13,37,1 wk ahead inc death,0.0
2020-01-13,38,1 wk ahead cum death,0
