weekdate,simple_state,cumulative_prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0
2020-04-19,alabama,0
2020-04-26,alabama,0
2020-05-03,alabama,0.746253746253746
2020-05-10,alabama,0.805194805194805
2020-05-17,alabama,0.848651348651349
2020-05-24,alabama,0.88961038961039
2020-05-31,alabama,0.91008991008991
2020-06-07,alabama,0.933566433566434
2020-06-14,alabama,0.948051948051948
2020-06-21,alabama,0.961038961038961
2020-06-28,alabama,0.970529470529471
2020-07-05,alabama,0.978271728271728
2020-07-12,alabama,0.984765234765235
2020-07-19,alabama,0.990509490509491
2020-07-26,alabama,0.993506493506494
2020-08-02,alabama,0.995004995004995
2020-08-09,alabama,0.996753246753247
2020-08-16,alabama,0.997502497502498
2020-08-23,alabama,0.999000999000999
2020-08-30,alabama,0.999250749250749
2020-09-06,alabama,0.99975024975025
2020-09-13,alabama,0.99975024975025
2020-09-20,alabama,1
2020-09-27,alabama,1
2020-10-04,alabama,1
2020-10-11,alabama,1
2020-10-18,alabama,1
2020-10-25,alabama,1
2020-11-01,alabama,1
2020-11-08,alabama,1
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.83041958041958
2020-04-05,alaska,0.83041958041958
2020-04-12,alaska,0.83041958041958
2020-04-19,alaska,0.83041958041958
2020-04-26,alaska,0.83041958041958
2020-05-03,alaska,0.873626373626374
2020-05-10,alaska,0.924075924075924
2020-05-17,alaska,0.949300699300699
2020-05-24,alaska,0.965284715284715
2020-05-31,alaska,0.975524475524475
2020-06-07,alaska,0.982517482517482
2020-06-14,alaska,0.987262737262737
2020-06-21,alaska,0.991008991008991
2020-06-28,alaska,0.994255744255744
2020-07-05,alaska,0.995504495504495
2020-07-12,alaska,0.996753246753247
2020-07-19,alaska,0.997252747252747
2020-07-26,alaska,0.997752247752248
2020-08-02,alaska,0.998751248751249
2020-08-09,alaska,0.999000999000999
2020-08-16,alaska,0.999500499500499
2020-08-23,alaska,0.999500499500499
2020-08-30,alaska,0.99975024975025
2020-09-06,alaska,1
2020-09-13,alaska,1
2020-09-20,alaska,1
2020-09-27,alaska,1
2020-10-04,alaska,1
2020-10-11,alaska,1
2020-10-18,alaska,1
2020-10-25,alaska,1
2020-11-01,alaska,1
2020-11-08,alaska,1
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
2020-04-05,arizona,0
2020-04-12,arizona,0.331775700934579
2020-04-19,arizona,0.331775700934579
2020-04-26,arizona,0.663551401869159
2020-05-03,arizona,0.722463284379172
2020-05-10,arizona,0.796228304405874
