weekdate,simple_state,cumulative_prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0
2020-04-19,alabama,0
2020-04-26,alabama,0
2020-05-03,alabama,0.620629370629371
2020-05-10,alabama,0.620629370629371
2020-05-17,alabama,0.681568431568432
2020-05-24,alabama,0.758241758241758
2020-05-31,alabama,0.825424575424575
2020-06-07,alabama,0.875874125874126
2020-06-14,alabama,0.911588411588412
2020-06-21,alabama,0.936563436563437
2020-06-28,alabama,0.952547452547453
2020-07-05,alabama,0.964535464535465
2020-07-12,alabama,0.973776223776224
2020-07-19,alabama,0.981768231768232
2020-07-26,alabama,0.985764235764236
2020-08-02,alabama,0.98976023976024
2020-08-09,alabama,0.992757242757243
2020-08-16,alabama,0.994505494505495
2020-08-23,alabama,0.995754245754246
2020-08-30,alabama,0.997252747252747
2020-09-06,alabama,0.998251748251748
2020-09-13,alabama,0.998251748251748
2020-09-20,alabama,0.999000999000999
2020-09-27,alabama,0.999250749250749
2020-10-04,alabama,0.99975024975025
2020-10-11,alabama,0.99975024975025
2020-10-18,alabama,0.99975024975025
2020-10-25,alabama,0.99975024975025
2020-11-01,alabama,1
2020-11-08,alabama,1
2020-11-15,alabama,1
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.99975024975025
2020-04-05,alaska,0.99975024975025
2020-04-12,alaska,0.99975024975025
2020-04-19,alaska,0.99975024975025
2020-04-26,alaska,0.99975024975025
2020-05-03,alaska,0.99975024975025
2020-05-10,alaska,0.99975024975025
2020-05-17,alaska,0.99975024975025
2020-05-24,alaska,0.99975024975025
2020-05-31,alaska,0.99975024975025
2020-06-07,alaska,0.99975024975025
2020-06-14,alaska,0.99975024975025
2020-06-21,alaska,0.99975024975025
2020-06-28,alaska,0.99975024975025
2020-07-05,alaska,0.99975024975025
2020-07-12,alaska,0.99975024975025
2020-07-19,alaska,0.99975024975025
2020-07-26,alaska,0.99975024975025
2020-08-02,alaska,0.99975024975025
2020-08-09,alaska,0.99975024975025
2020-08-16,alaska,0.99975024975025
2020-08-23,alaska,0.99975024975025
2020-08-30,alaska,0.99975024975025
2020-09-06,alaska,0.99975024975025
2020-09-13,alaska,0.99975024975025
2020-09-20,alaska,0.99975024975025
2020-09-27,alaska,0.99975024975025
2020-10-04,alaska,0.99975024975025
2020-10-11,alaska,0.99975024975025
2020-10-18,alaska,0.99975024975025
2020-10-25,alaska,0.99975024975025
2020-11-01,alaska,0.99975024975025
2020-11-08,alaska,1
2020-11-15,alaska,1
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
