weekdate,simple_state,prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0.582917082917083
2020-04-19,alabama,0.0869130869130869
2020-04-26,alabama,0.137112887112887
2020-05-03,alabama,0.0786713286713287
2020-05-10,alabama,0.04995004995005
2020-05-17,alabama,0.0292207792207792
2020-05-24,alabama,0.014985014985015
2020-05-31,alabama,0.00974025974025974
2020-06-07,alabama,0.0044955044955045
2020-06-14,alabama,0.002997002997003
2020-06-21,alabama,0.00174825174825175
2020-06-28,alabama,0.000749250749250749
2020-07-05,alabama,0.00024975024975025
2020-07-12,alabama,0
2020-07-19,alabama,0.00024975024975025
2020-07-26,alabama,0
2020-08-02,alabama,0
2020-08-09,alabama,0
2020-08-16,alabama,0
2020-08-23,alabama,0
2020-08-30,alabama,0
2020-09-06,alabama,0
2020-09-13,alabama,0
2020-09-20,alabama,0
2020-09-27,alabama,0
2020-10-04,alabama,0
2020-10-11,alabama,0
2020-10-18,alabama,0
2020-10-25,alabama,0
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.696803196803197
2020-04-05,alaska,0
2020-04-12,alaska,0
2020-04-19,alaska,0.0769230769230769
2020-04-26,alaska,0.106143856143856
2020-05-03,alaska,0.0539460539460539
2020-05-10,alaska,0.0254745254745255
2020-05-17,alaska,0.0162337662337662
2020-05-24,alaska,0.00999000999000999
2020-05-31,alaska,0.00524475524475525
2020-06-07,alaska,0.00424575424575425
2020-06-14,alaska,0.00174825174825175
2020-06-21,alaska,0.0014985014985015
2020-06-28,alaska,0.00024975024975025
2020-07-05,alaska,0.000999000999000999
2020-07-12,alaska,0.00024975024975025
2020-07-19,alaska,0.00024975024975025
2020-07-26,alaska,0
2020-08-02,alaska,0
2020-08-09,alaska,0
2020-08-16,alaska,0
2020-08-23,alaska,0
2020-08-30,alaska,0
2020-09-06,alaska,0
2020-09-13,alaska,0
2020-09-20,alaska,0
2020-09-27,alaska,0
2020-10-04,alaska,0
2020-10-11,alaska,0
2020-10-18,alaska,0
2020-10-25,alaska,0
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
2020-04-05,arizona,0
2020-04-12,arizona,0.694805194805195
2020-04-19,arizona,0.0374625374625375
2020-04-26,arizona,0.0701798201798202
2020-05-03,arizona,0.0581918081918082
2020-05-10,arizona,0.036963036963037
2020-05-17,arizona,0.0314685314685315
2020-05-24,arizona,0.0234765234765235
2020-05-31,arizona,0.014985014985015
2020-06-07,arizona,0.012987012987013
2020-06-14,arizona,0.00674325674325674
2020-06-21,arizona,0.004995004995005
