weekdate,simple_state,cumulative_prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0
2020-04-19,alabama,0
2020-04-26,alabama,0
2020-05-03,alabama,0
2020-05-10,alabama,0
2020-05-17,alabama,0.842814371257485
2020-05-24,alabama,0.876746506986028
2020-05-31,alabama,0.918662674650699
2020-06-07,alabama,0.94061876247505
2020-06-14,alabama,0.964071856287425
2020-06-21,alabama,0.975548902195609
2020-06-28,alabama,0.986526946107784
2020-07-05,alabama,0.990518962075848
2020-07-12,alabama,0.994011976047904
2020-07-19,alabama,0.995508982035928
2020-07-26,alabama,0.997005988023952
2020-08-02,alabama,0.999001996007984
2020-08-09,alabama,0.999500998003992
2020-08-16,alabama,0.999500998003992
2020-08-23,alabama,0.999500998003992
2020-08-30,alabama,1
2020-09-06,alabama,1
2020-09-13,alabama,1
2020-09-20,alabama,1
2020-09-27,alabama,1
2020-10-04,alabama,1
2020-10-11,alabama,1
2020-10-18,alabama,1
2020-10-25,alabama,1
2020-11-01,alabama,1
2020-11-08,alabama,1
2020-11-15,alabama,1
2020-11-22,alabama,1
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.999500998003992
2020-04-05,alaska,0.999500998003992
2020-04-12,alaska,0.999500998003992
2020-04-19,alaska,0.999500998003992
2020-04-26,alaska,0.999500998003992
2020-05-03,alaska,0.999500998003992
2020-05-10,alaska,0.999500998003992
2020-05-17,alaska,0.999500998003992
2020-05-24,alaska,0.999500998003992
2020-05-31,alaska,0.999500998003992
2020-06-07,alaska,1
2020-06-14,alaska,1
2020-06-21,alaska,1
2020-06-28,alaska,1
2020-07-05,alaska,1
2020-07-12,alaska,1
2020-07-19,alaska,1
2020-07-26,alaska,1
2020-08-02,alaska,1
2020-08-09,alaska,1
2020-08-16,alaska,1
2020-08-23,alaska,1
2020-08-30,alaska,1
2020-09-06,alaska,1
2020-09-13,alaska,1
2020-09-20,alaska,1
2020-09-27,alaska,1
2020-10-04,alaska,1
2020-10-11,alaska,1
2020-10-18,alaska,1
2020-10-25,alaska,1
2020-11-01,alaska,1
2020-11-08,alaska,1
2020-11-15,alaska,1
2020-11-22,alaska,1
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
2020-04-05,arizona,0
2020-04-12,arizona,0
2020-04-19,arizona,0
2020-04-26,arizona,0
2020-05-03,arizona,0
2020-05-10,arizona,0.665169660678643
2020-05-17,arizona,0.665169660678643
2020-05-24,arizona,0.705588822355289
2020-05-31,arizona,0.774950099800399
2020-06-07,arizona,0.827844311377245
2020-06-14,arizona,0.873253493013972
