weekdate,simple_countries,cumulative_prob
2020-03-15,albania,0
2020-03-22,albania,0
2020-03-29,albania,0
2020-04-05,albania,0
2020-04-12,albania,0
2020-04-19,albania,0
2020-04-26,albania,0.979020979020979
2020-05-03,albania,0.979020979020979
2020-05-10,albania,0.98026973026973
2020-05-17,albania,0.982767232767233
2020-05-24,albania,0.987512487512488
2020-05-31,albania,0.991758241758242
2020-06-07,albania,0.993006993006993
2020-06-14,albania,0.995754245754246
2020-06-21,albania,0.998251748251748
2020-06-28,albania,0.998501498501498
2020-07-05,albania,0.9995004995005
2020-07-12,albania,0.9995004995005
2020-07-19,albania,0.99975024975025
2020-07-26,albania,1
2020-08-02,albania,1
2020-08-09,albania,1
2020-08-16,albania,1
2020-08-23,albania,1
2020-08-30,albania,1
2020-09-06,albania,1
2020-09-13,albania,1
2020-09-20,albania,1
2020-09-27,albania,1
2020-10-04,albania,1
2020-10-11,albania,1
2020-10-18,albania,1
2020-10-25,albania,1
2020-11-01,albania,1
2020-11-08,albania,1
2020-11-15,albania,1
2020-03-15,andorra,0
2020-03-22,andorra,0
2020-03-29,andorra,1
2020-04-05,andorra,1
2020-04-12,andorra,1
2020-04-19,andorra,1
2020-04-26,andorra,1
2020-05-03,andorra,1
2020-05-10,andorra,1
2020-05-17,andorra,1
2020-05-24,andorra,1
2020-05-31,andorra,1
2020-06-07,andorra,1
2020-06-14,andorra,1
2020-06-21,andorra,1
2020-06-28,andorra,1
2020-07-05,andorra,1
2020-07-12,andorra,1
2020-07-19,andorra,1
2020-07-26,andorra,1
2020-08-02,andorra,1
2020-08-09,andorra,1
2020-08-16,andorra,1
2020-08-23,andorra,1
2020-08-30,andorra,1
2020-09-06,andorra,1
2020-09-13,andorra,1
2020-09-20,andorra,1
2020-09-27,andorra,1
2020-10-04,andorra,1
2020-10-11,andorra,1
2020-10-18,andorra,1
2020-10-25,andorra,1
2020-11-01,andorra,1
2020-11-08,andorra,1
2020-11-15,andorra,1
2020-03-15,austria,0
2020-03-22,austria,0
2020-03-29,austria,1
2020-04-05,austria,1
2020-04-12,austria,1
2020-04-19,austria,1
2020-04-26,austria,1
2020-05-03,austria,1
2020-05-10,austria,1
2020-05-17,austria,1
2020-05-24,austria,1
2020-05-31,austria,1
2020-06-07,austria,1
2020-06-14,austria,1
2020-06-21,austria,1
2020-06-28,austria,1
2020-07-05,austria,1
2020-07-12,austria,1
2020-07-19,austria,1
2020-07-26,austria,1
2020-08-02,austria,1
2020-08-09,austria,1
2020-08-16,austria,1
2020-08-23,austria,1
2020-08-30,austria,1
2020-09-06,austria,1
2020-09-13,austria,1
2020-09-20,austria,1
2020-09-27,austria,1
2020-10-04,austria,1
2020-10-11,austria,1
2020-10-18,austria,1
2020-10-25,austria,1
2020-11-01,austria,1
2020-11-08,austria,1
2020-11-15,austria,1
2020-03-15,belarus,0
2020-03-22,belarus,0
2020-03-29,belarus,0
2020-04-05,belarus,0
2020-04-12,belarus,0
2020-04-19,belarus,0
2020-04-26,belarus,0.688311688311688
2020-05-03,belarus,0.688311688311688
2020-05-10,belarus,0.691558441558442
2020-05-17,belarus,0.75024975024975
2020-05-24,belarus,0.822177822177822
2020-05-31,belarus,0.87962037962038
2020-06-07,belarus,0.923576423576424
2020-06-14,belarus,0.947802197802198
2020-06-21,belarus,0.967032967032967
2020-06-28,belarus,0.977272727272727
2020-07-05,belarus,0.984515484515484
2020-07-12,belarus,0.989260739260739
2020-07-19,belarus,0.991258741258741
2020-07-26,belarus,0.995254745254745
2020-08-02,belarus,0.997002997002997
2020-08-09,belarus,0.998001998001998
2020-08-16,belarus,0.999250749250749
2020-08-23,belarus,0.99975024975025
