weekdate,simple_state,cumulative_prob
2020-03-15,alabama,0
2020-03-22,alabama,0
2020-03-29,alabama,0
2020-04-05,alabama,0
2020-04-12,alabama,0
2020-04-19,alabama,0
2020-04-26,alabama,0
2020-05-03,alabama,0.515484515484515
2020-05-10,alabama,0.551198801198801
2020-05-17,alabama,0.664085914085914
2020-05-24,alabama,0.75
2020-05-31,alabama,0.821928071928072
2020-06-07,alabama,0.868131868131868
2020-06-14,alabama,0.902097902097902
2020-06-21,alabama,0.928321678321678
2020-06-28,alabama,0.944055944055944
2020-07-05,alabama,0.959290709290709
2020-07-12,alabama,0.96953046953047
2020-07-19,alabama,0.978771228771229
2020-07-26,alabama,0.984265734265734
2020-08-02,alabama,0.988011988011988
2020-08-09,alabama,0.991508491508491
2020-08-16,alabama,0.994755244755245
2020-08-23,alabama,0.996503496503496
2020-08-30,alabama,0.997502497502498
2020-09-06,alabama,0.998001998001998
2020-09-13,alabama,0.999000999000999
2020-09-20,alabama,0.999000999000999
2020-09-27,alabama,0.999250749250749
2020-10-04,alabama,0.99975024975025
2020-10-11,alabama,0.99975024975025
2020-10-18,alabama,0.99975024975025
2020-10-25,alabama,1
2020-11-01,alabama,1
2020-11-08,alabama,1
2020-11-15,alabama,1
2020-03-15,alaska,0
2020-03-22,alaska,0
2020-03-29,alaska,0.999500499500499
2020-04-05,alaska,0.999500499500499
2020-04-12,alaska,0.999500499500499
2020-04-19,alaska,0.999500499500499
2020-04-26,alaska,0.999500499500499
2020-05-03,alaska,0.999500499500499
2020-05-10,alaska,0.999500499500499
2020-05-17,alaska,0.999500499500499
2020-05-24,alaska,0.999500499500499
2020-05-31,alaska,0.999500499500499
2020-06-07,alaska,0.999500499500499
2020-06-14,alaska,0.99975024975025
2020-06-21,alaska,0.99975024975025
2020-06-28,alaska,0.99975024975025
2020-07-05,alaska,0.99975024975025
2020-07-12,alaska,0.99975024975025
2020-07-19,alaska,0.99975024975025
2020-07-26,alaska,0.99975024975025
2020-08-02,alaska,0.99975024975025
2020-08-09,alaska,0.99975024975025
2020-08-16,alaska,0.99975024975025
2020-08-23,alaska,0.99975024975025
2020-08-30,alaska,0.99975024975025
2020-09-06,alaska,0.99975024975025
2020-09-13,alaska,0.99975024975025
2020-09-20,alaska,0.99975024975025
2020-09-27,alaska,0.99975024975025
2020-10-04,alaska,1
2020-10-11,alaska,1
2020-10-18,alaska,1
2020-10-25,alaska,1
2020-11-01,alaska,1
2020-11-08,alaska,1
2020-11-15,alaska,1
2020-03-15,arizona,0
2020-03-22,arizona,0
2020-03-29,arizona,0
2020-04-05,arizona,0
2020-04-12,arizona,0
2020-04-19,arizona,0
