weekdate,simple_countries,cumulative_prob
2020-03-15,albania,0
2020-03-22,albania,0
2020-03-29,albania,0
2020-04-05,albania,0
2020-04-12,albania,0
2020-04-19,albania,0
2020-04-26,albania,0.966533466533467
2020-05-03,albania,0.966533466533467
2020-05-10,albania,0.966533466533467
2020-05-17,albania,0.968031968031968
2020-05-24,albania,0.971278721278721
2020-05-31,albania,0.976773226773227
2020-06-07,albania,0.982017982017982
2020-06-14,albania,0.986013986013986
2020-06-21,albania,0.99050949050949
2020-06-28,albania,0.993506493506493
2020-07-05,albania,0.995254745254745
2020-07-12,albania,0.996753246753247
2020-07-19,albania,0.997252747252747
2020-07-26,albania,0.998001998001998
2020-08-02,albania,0.998501498501498
2020-08-09,albania,0.998751248751249
2020-08-16,albania,0.999250749250749
2020-08-23,albania,0.999500499500499
2020-08-30,albania,0.999500499500499
2020-09-06,albania,0.999500499500499
2020-09-13,albania,0.99975024975025
2020-09-20,albania,0.99975024975025
2020-09-27,albania,0.99975024975025
2020-10-04,albania,1
2020-10-11,albania,1
2020-10-18,albania,1
2020-10-25,albania,1
2020-11-01,albania,1
2020-11-08,albania,1
2020-11-15,albania,1
2020-03-15,andorra,0
2020-03-22,andorra,0
2020-03-29,andorra,1
2020-04-05,andorra,1
2020-04-12,andorra,1
2020-04-19,andorra,1
2020-04-26,andorra,1
2020-05-03,andorra,1
2020-05-10,andorra,1
2020-05-17,andorra,1
2020-05-24,andorra,1
2020-05-31,andorra,1
2020-06-07,andorra,1
2020-06-14,andorra,1
2020-06-21,andorra,1
2020-06-28,andorra,1
2020-07-05,andorra,1
2020-07-12,andorra,1
2020-07-19,andorra,1
2020-07-26,andorra,1
2020-08-02,andorra,1
2020-08-09,andorra,1
2020-08-16,andorra,1
2020-08-23,andorra,1
2020-08-30,andorra,1
2020-09-06,andorra,1
2020-09-13,andorra,1
2020-09-20,andorra,1
2020-09-27,andorra,1
2020-10-04,andorra,1
2020-10-11,andorra,1
2020-10-18,andorra,1
2020-10-25,andorra,1
2020-11-01,andorra,1
2020-11-08,andorra,1
2020-11-15,andorra,1
2020-03-15,austria,0
2020-03-22,austria,0
2020-03-29,austria,1
2020-04-05,austria,1
2020-04-12,austria,1
2020-04-19,austria,1
2020-04-26,austria,1
2020-05-03,austria,1
2020-05-10,austria,1
2020-05-17,austria,1
2020-05-24,austria,1
2020-05-31,austria,1
2020-06-07,austria,1
2020-06-14,austria,1
2020-06-21,austria,1
2020-06-28,austria,1
2020-07-05,austria,1
2020-07-12,austria,1
2020-07-19,austria,1
2020-07-26,austria,1
2020-08-02,austria,1
2020-08-09,austria,1
2020-08-16,austria,1
2020-08-23,austria,1
2020-08-30,austria,1
2020-09-06,austria,1
2020-09-13,austria,1
2020-09-20,austria,1
2020-09-27,austria,1
2020-10-04,austria,1
2020-10-11,austria,1
2020-10-18,austria,1
2020-10-25,austria,1
2020-11-01,austria,1
2020-11-08,austria,1
2020-11-15,austria,1
2020-03-15,belarus,0
2020-03-22,belarus,0
2020-03-29,belarus,0
2020-04-05,belarus,0
2020-04-12,belarus,0
2020-04-19,belarus,0
2020-04-26,belarus,0.64035964035964
2020-05-03,belarus,0.64035964035964
2020-05-10,belarus,0.64035964035964
2020-05-17,belarus,0.663836163836164
2020-05-24,belarus,0.743506493506493
2020-05-31,belarus,0.814935064935065
2020-06-07,belarus,0.862637362637363
2020-06-14,belarus,0.904095904095904
2020-06-21,belarus,0.931568431568432
2020-06-28,belarus,0.956043956043956
2020-07-05,belarus,0.970779220779221
2020-07-12,belarus,0.98026973026973
2020-07-19,belarus,0.987012987012987
2020-07-26,belarus,0.99050949050949
