target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.01,20048.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.01,20048.0
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.01,20048.0
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.01,20048.0
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.025,20048.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.025,20048.0
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.025,20052.2
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.025,20084.4
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.05,20048.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.05,20057.8
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.05,20076.1
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.05,20109.5
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.1,20048.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.1,20071.1
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.1,20100.4
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.1,20130.2
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.15,20048.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.15,20080.6
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.15,20115.8
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.15,20146.3
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.2,20049.0
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.2,20090.0
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.2,20126.3
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.2,20158.2
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.25,20049.9
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.25,20097.7
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.25,20133.0
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.25,20163.8
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.3,20058.6
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.3,20100.4
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.3,20138.9
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.3,20175.7
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.35,20059.1
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.35,20104.2
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.35,20143.0
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.35,20182.1
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.4,20063.2
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.4,20108.8
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.4,20147.3
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.4,20187.8
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.45,20066.7
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.45,20111.2
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.45,20158.4
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.45,20197.7
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.5,20067.2
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.5,20116.6
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.5,20160.4
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.5,20207.1
1 wk ahead cum death,2022-08-29,2022-09-03,01,quantile,0.55,20070.6
2 wk ahead cum death,2022-08-29,2022-09-10,01,quantile,0.55,20120.5
3 wk ahead cum death,2022-08-29,2022-09-17,01,quantile,0.55,20170.9
4 wk ahead cum death,2022-08-29,2022-09-24,01,quantile,0.55,20207.7
