target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.01,19038.0
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.01,19038.0
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.01,19038.0
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.01,19038.0
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.025,19038.0
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.025,19041.1
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.025,19041.3
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.025,19049.8
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.05,19100.5
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.05,19188.1
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.05,19213.3
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.05,19223.9
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.1,19127.2
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.1,19224.5
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.1,19284.4
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.1,19334.1
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.15,19151.7
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.15,19243.2
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.15,19350.2
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.15,19434.2
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.2,19170.9
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.2,19271.2
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.2,19382.1
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.2,19453.9
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.25,19178.9
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.25,19285.2
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.25,19388.0
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.25,19497.0
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.3,19190.9
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.3,19290.1
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.3,19416.0
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.3,19519.7
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.35,19197.9
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.35,19303.9
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.35,19432.8
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.35,19525.4
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.4,19204.0
2 wk ahead cum death,2022-03-21,2022-04-02,01,quantile,0.4,19310.4
3 wk ahead cum death,2022-03-21,2022-04-09,01,quantile,0.4,19433.7
4 wk ahead cum death,2022-03-21,2022-04-16,01,quantile,0.4,19526.1
1 wk ahead cum death,2022-03-21,2022-03-26,01,quantile,0.45,19209.4
