target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.01,19759.0
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.01,19759.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.01,19759.0
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.01,19759.0
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.025,19759.0
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.025,19759.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.025,19759.0
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.025,19775.3
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.05,19759.0
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.05,19759.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.05,19783.6
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.05,19810.3
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.1,19759.0
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.1,19798.3
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.1,19798.7
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.1,19830.4
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.15,19761.5
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.15,19806.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.15,19825.7
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.15,19844.9
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.2,19776.2
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.2,19814.1
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.2,19855.3
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.2,19855.6
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.25,19776.8
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.25,19823.4
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.25,19865.7
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.25,19878.7
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.3,19782.4
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.3,19824.6
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.3,19868.8
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.3,19889.7
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.35,19783.2
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.35,19829.1
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.35,19873.4
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.35,19898.9
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.4,19786.2
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.4,19835.3
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.4,19879.6
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.4,19907.8
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.45,19787.4
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.45,19839.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.45,19886.6
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.45,19921.5
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.5,19788.7
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.5,19840.7
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.5,19889.1
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.5,19933.9
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.55,19794.1
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.55,19842.2
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.55,19900.5
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.55,19941.2
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.6,19795.9
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.6,19848.2
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.6,19904.7
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.6,19952.1
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.65,19798.1
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.65,19856.3
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.65,19905.2
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.65,19962.6
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.7,19801.5
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.7,19858.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.7,19920.0
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.7,19982.6
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.75,19810.2
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.75,19870.0
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.75,19927.9
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.75,19994.7
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.8,19816.1
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.8,19875.6
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.8,19946.7
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.8,20019.5
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.85,19825.5
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.85,19882.9
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.85,19959.1
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.85,20045.3
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.9,19847.3
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.9,19898.5
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.9,19979.9
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.9,20090.5
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.95,19880.0
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.95,19925.9
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.95,20018.8
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.95,20175.1
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.975,19928.9
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.975,19960.6
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.975,20093.5
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.975,20420.9
1 wk ahead cum death,2022-07-04,2022-07-09,01,quantile,0.99,20167.7
2 wk ahead cum death,2022-07-04,2022-07-16,01,quantile,0.99,20221.3
3 wk ahead cum death,2022-07-04,2022-07-23,01,quantile,0.99,20351.0
4 wk ahead cum death,2022-07-04,2022-07-30,01,quantile,0.99,20837.2
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.01,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.01,1285.0
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.01,1285.0
4 wk ahead cum death,2022-07-04,2022-07-30,02,quantile,0.01,1285.0
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.025,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.025,1285.0
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.025,1285.0
4 wk ahead cum death,2022-07-04,2022-07-30,02,quantile,0.025,1285.0
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.05,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.05,1285.0
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.05,1285.0
4 wk ahead cum death,2022-07-04,2022-07-30,02,quantile,0.05,1285.0
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.1,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.1,1285.0
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.1,1285.0
4 wk ahead cum death,2022-07-04,2022-07-30,02,quantile,0.1,1285.0
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.15,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.15,1285.0
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.15,1285.0
4 wk ahead cum death,2022-07-04,2022-07-30,02,quantile,0.15,1285.0
1 wk ahead cum death,2022-07-04,2022-07-09,02,quantile,0.2,1285.0
2 wk ahead cum death,2022-07-04,2022-07-16,02,quantile,0.2,1285.1
3 wk ahead cum death,2022-07-04,2022-07-23,02,quantile,0.2,1285.9
