target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.01,19872.0
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.01,19872.0
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.01,19872.0
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.01,19897.9
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.025,19872.0
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.025,19872.0
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.025,19934.3
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.025,19976.1
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.05,19872.0
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.05,19919.1
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.05,19960.2
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.05,20016.0
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.1,19880.5
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.1,19939.8
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.1,19987.2
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.1,20042.2
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.15,19895.8
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.15,19952.1
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.15,19997.8
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.15,20058.4
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.2,19904.8
2 wk ahead cum death,2022-07-25,2022-08-06,01,quantile,0.2,19958.5
3 wk ahead cum death,2022-07-25,2022-08-13,01,quantile,0.2,20010.6
4 wk ahead cum death,2022-07-25,2022-08-20,01,quantile,0.2,20072.5
1 wk ahead cum death,2022-07-25,2022-07-30,01,quantile,0.25,19913.2
