target,forecast_date,target_end_date,location,type,quantile,value
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.6,5937.4296151462795
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.6,5953.524322738791
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.6,5968.671431264143
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.65,5913.618358802176
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.65,5940.744832880702
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.65,5959.906149151236
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.65,5979.447046043386
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.7,5921.3204624638165
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.7,5944.022462449652
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.7,5967.823028010893
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.7,5985.487002875583
