target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.01,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.01,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.01,19664.0
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.01,19664.0
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.025,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.025,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.025,19664.0
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.025,19664.0
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.05,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.05,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.05,19664.0
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.05,19664.0
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.1,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.1,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.1,19664.0
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.1,19677.4
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.15,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.15,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.15,19668.0
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.15,19690.8
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.2,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.2,19664.0
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.2,19680.4
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.2,19706.8
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.25,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.25,19667.9
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.25,19686.4
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.25,19713.9
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.3,19664.0
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.3,19671.7
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.3,19694.2
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.3,19718.4
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.35,19665.1
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.35,19676.4
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.35,19696.1
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.35,19724.1
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.4,19669.1
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.4,19680.4
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.4,19702.9
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.4,19730.5
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.45,19670.2
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.45,19684.2
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.45,19708.8
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.45,19737.4
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.5,19671.1
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.5,19686.1
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.5,19709.5
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.5,19751.0
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.55,19673.4
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.55,19691.9
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.55,19715.9
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.55,19755.9
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.6,19676.3
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.6,19694.6
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.6,19721.3
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.6,19760.8
1 wk ahead cum death,2022-06-06,2022-06-11,01,quantile,0.65,19676.9
2 wk ahead cum death,2022-06-06,2022-06-18,01,quantile,0.65,19696.4
3 wk ahead cum death,2022-06-06,2022-06-25,01,quantile,0.65,19724.8
4 wk ahead cum death,2022-06-06,2022-07-02,01,quantile,0.65,19765.2
