target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.01,16185.0
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.01,16185.0
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.01,16185.0
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.01,16185.0
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.025,16185.0
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.025,16194.4
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.025,16210.5
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.025,16227.9
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.05,16185.0
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.05,16227.3
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.05,16242.2
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.05,16272.3
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.1,16201.6
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.1,16242.4
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.1,16271.8
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.1,16310.4
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.15,16207.3
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.15,16255.1
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.15,16294.3
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.15,16324.0
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.2,16217.8
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.2,16266.6
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.2,16299.8
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.2,16341.2
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.25,16223.0
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.25,16272.3
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.25,16305.2
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.25,16353.9
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.3,16226.2
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.3,16273.4
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.3,16316.8
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.3,16369.8
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.35,16228.8
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.35,16279.9
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.35,16322.0
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.35,16377.7
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.4,16231.6
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.4,16283.9
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.4,16322.7
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.4,16380.7
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.45,16232.4
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.45,16286.3
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.45,16327.4
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.45,16388.8
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.5,16238.4
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.5,16286.5
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.5,16328.3
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.5,16405.7
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.55,16241.2
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.55,16289.4
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.55,16338.3
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.55,16413.3
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.6,16246.3
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.6,16295.9
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.6,16341.6
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.6,16417.0
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.65,16249.8
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.65,16297.8
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.65,16347.1
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.65,16430.9
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.7,16250.3
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.7,16308.8
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.7,16362.1
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.7,16441.4
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.75,16250.7
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.75,16318.4
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.75,16371.0
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.75,16448.1
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.8,16258.0
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.8,16320.6
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.8,16384.3
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.8,16466.0
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.85,16266.2
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.85,16333.9
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.85,16394.5
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.85,16489.0
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.9,16292.8
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.9,16347.2
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.9,16418.8
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.9,16523.6
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.95,16310.1
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.95,16379.5
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.95,16458.6
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.95,16631.7
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.975,16371.2
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.975,16417.8
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.975,16543.3
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.975,16837.7
1 wk ahead cum death,2021-12-06,2021-12-11,01,quantile,0.99,16635.9
2 wk ahead cum death,2021-12-06,2021-12-18,01,quantile,0.99,16741.6
3 wk ahead cum death,2021-12-06,2021-12-25,01,quantile,0.99,16781.6
4 wk ahead cum death,2021-12-06,2022-01-01,01,quantile,0.99,17288.0
1 wk ahead cum death,2021-12-06,2021-12-11,02,quantile,0.01,883.0
2 wk ahead cum death,2021-12-06,2021-12-18,02,quantile,0.01,883.0
3 wk ahead cum death,2021-12-06,2021-12-25,02,quantile,0.01,883.0
4 wk ahead cum death,2021-12-06,2022-01-01,02,quantile,0.01,883.0
1 wk ahead cum death,2021-12-06,2021-12-11,02,quantile,0.025,883.0
2 wk ahead cum death,2021-12-06,2021-12-18,02,quantile,0.025,889.7
3 wk ahead cum death,2021-12-06,2021-12-25,02,quantile,0.025,901.2
4 wk ahead cum death,2021-12-06,2022-01-01,02,quantile,0.025,914.4
1 wk ahead cum death,2021-12-06,2021-12-11,02,quantile,0.05,883.0
2 wk ahead cum death,2021-12-06,2021-12-18,02,quantile,0.05,898.1
