target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.01,11443.0
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.01,11443.0
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.01,11443.0
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.01,11453.6
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.025,11443.0
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.025,11443.1
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.025,11455.8
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.025,11515.9
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.05,11446.8
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.05,11476.3
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.05,11480.8
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.05,11534.2
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.1,11456.7
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.1,11491.5
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.1,11507.4
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.1,11551.6
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.15,11461.8
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.15,11499.2
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.15,11520.6
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.15,11559.5
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.2,11471.3
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.2,11503.2
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.2,11524.0
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.2,11567.9
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.25,11475.2
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.25,11509.9
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.25,11533.4
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.25,11574.9
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.3,11479.3
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.3,11514.1
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.3,11535.5
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.3,11582.5
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.35,11480.2
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.35,11517.3
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.35,11542.7
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.35,11586.1
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.4,11481.4
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.4,11521.1
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.4,11546.8
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.4,11593.2
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.45,11481.6
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.45,11523.1
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.45,11550.3
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.45,11596.8
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.5,11486.6
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.5,11523.8
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.5,11553.0
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.5,11601.5
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.55,11487.3
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.55,11528.0
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.55,11559.3
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.55,11604.7
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.6,11489.5
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.6,11531.4
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.6,11561.4
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.6,11608.1
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.65,11491.8
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.65,11535.1
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.65,11562.7
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.65,11613.5
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.7,11495.9
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.7,11539.2
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.7,11568.7
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.7,11618.4
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.75,11501.2
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.75,11542.8
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.75,11575.5
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.75,11624.1
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.8,11504.2
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.8,11547.9
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.8,11584.3
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.8,11629.6
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.85,11508.2
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.85,11558.7
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.85,11598.9
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.85,11644.5
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.9,11520.9
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.9,11569.6
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.9,11615.8
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.9,11662.0
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.95,11536.6
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.95,11587.0
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.95,11651.4
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.95,11709.7
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.975,11556.8
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.975,11639.9
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.975,11725.0
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.975,11766.3
1 wk ahead cum death,2021-07-19,2021-07-24,01,quantile,0.99,11735.8
2 wk ahead cum death,2021-07-19,2021-07-31,01,quantile,0.99,11896.7
3 wk ahead cum death,2021-07-19,2021-08-07,01,quantile,0.99,11897.6
4 wk ahead cum death,2021-07-19,2021-08-14,01,quantile,0.99,11913.6
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.01,381.0
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.01,381.0
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.01,381.0
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.01,381.0
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.025,381.0
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.025,381.0
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.025,381.0
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.025,381.0
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.05,381.0
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.05,381.0
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.05,381.0
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.05,381.0
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.1,381.0
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.1,381.0
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.1,381.1
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.1,382.2
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.15,381.1
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.15,381.1
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.15,381.2
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.15,383.5
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.2,382.0
2 wk ahead cum death,2021-07-19,2021-07-31,02,quantile,0.2,382.9
3 wk ahead cum death,2021-07-19,2021-08-07,02,quantile,0.2,382.9
4 wk ahead cum death,2021-07-19,2021-08-14,02,quantile,0.2,384.1
1 wk ahead cum death,2021-07-19,2021-07-24,02,quantile,0.25,382.9
