model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,US,31647,23083,51094
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,US,51036,31573,92474
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,US,70038,39002,142616
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,US,88912,44445,194142
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,152,102,325
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,243,116,676
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,339,131,1151
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Alabama,428,142,1836
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,52,36,146
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,71,36,295
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,90,37,496
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Delaware,108,38,828
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,District of Columbia,75,54,154
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,District of Columbia,103,59,272
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,District of Columbia,127,64,404
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,District of Columbia,145,66,571
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,796,573,1238
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,1291,714,2505
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,1873,858,4351
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Florida,2490,964,6744
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,717,488,1450
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,1108,596,2578
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,1543,708,3855
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Georgia,1973,805,5470
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,18,10,53
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,34,10,131
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,45,10,191
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Hawaii,50,10,225
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,35,28,78
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,45,28,130
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,52,29,168
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Idaho,56,29,199
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,1174,830,2021
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1678,954,3667
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,2177,1049,6152
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Illinois,2656,1108,10358
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,564,382,1116
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,801,434,1949
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,987,471,2827
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Indiana,1142,497,3990
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,72,45,182
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,127,55,400
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,198,69,677
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Iowa,279,86,985
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,11,8,30
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,15,8,55
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,19,8,80
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Alaska,21,8,104
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,91,58,260
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,148,65,547
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,213,76,908
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Kansas,275,82,1360
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,190,110,410
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,343,140,911
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,526,171,1696
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Kentucky,723,194,3051
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,993,852,1736
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,1112,871,2625
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,1191,879,3494
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Louisiana,1253,880,4383
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,27,19,65
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,36,19,113
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,43,19,165
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Maine,48,19,202
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,398,268,822
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,623,308,1638
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,829,345,2667
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Maryland,1015,369,4527
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,1547,1013,2742
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,2764,1324,6181
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,4076,1581,11505
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Massachusetts,5255,1738,19042
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1974,1576,3469
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,2378,1656,5228
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,2668,1697,6976
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Michigan,2928,1725,9017
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,122,74,270
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,204,85,590
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,296,100,1034
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Minnesota,389,110,1601
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,142,98,391
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,210,105,774
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,272,117,1126
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Mississippi,319,123,1561
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,220,122,635
