forecast_date,location,target,type,quantile,target_end_date,value
2021-04-26,01,1 wk ahead cum death,point,NA,2021-05-01,10894.1018
2021-04-26,02,1 wk ahead cum death,point,NA,2021-05-01,335.689
2021-04-26,04,1 wk ahead cum death,point,NA,2021-05-01,17323.8062
2021-04-26,05,1 wk ahead cum death,point,NA,2021-05-01,5734.1066
2021-04-26,06,1 wk ahead cum death,point,NA,2021-05-01,61874.1418
2021-04-26,08,1 wk ahead cum death,point,NA,2021-05-01,6286.9466
2021-04-26,09,1 wk ahead cum death,point,NA,2021-05-01,8087.9812
2021-04-26,10,1 wk ahead cum death,point,NA,2021-05-01,1628.7112
2021-04-26,11,1 wk ahead cum death,point,NA,2021-05-01,1105.9792
2021-04-26,12,1 wk ahead cum death,point,NA,2021-05-01,35161.6912
2021-04-26,13,1 wk ahead cum death,point,NA,2021-05-01,20207.2204
2021-04-26,15,1 wk ahead cum death,point,NA,2021-05-01,480.9328
2021-04-26,16,1 wk ahead cum death,point,NA,2021-05-01,2044.502
2021-04-26,17,1 wk ahead cum death,point,NA,2021-05-01,24277.6976
2021-04-26,18,1 wk ahead cum death,point,NA,2021-05-01,13318.7406
2021-04-26,19,1 wk ahead cum death,point,NA,2021-05-01,5963.866999999998
2021-04-26,20,1 wk ahead cum death,point,NA,2021-05-01,4948.669
2021-04-26,21,1 wk ahead cum death,point,NA,2021-05-01,6553.706
2021-04-26,22,1 wk ahead cum death,point,NA,2021-05-01,10381.9046
2021-04-26,23,1 wk ahead cum death,point,NA,2021-05-01,778.1096
2021-04-26,24,1 wk ahead cum death,point,NA,2021-05-01,8739.7018
2021-04-26,25,1 wk ahead cum death,point,NA,2021-05-01,17631.5222
2021-04-26,26,1 wk ahead cum death,point,NA,2021-05-01,18896.9124
2021-04-26,27,1 wk ahead cum death,point,NA,2021-05-01,7208.3452
2021-04-26,28,1 wk ahead cum death,point,NA,2021-05-01,7196.448
2021-04-26,29,1 wk ahead cum death,point,NA,2021-05-01,9121.6934
2021-04-26,30,1 wk ahead cum death,point,NA,2021-05-01,1585.464
2021-04-26,31,1 wk ahead cum death,point,NA,2021-05-01,2260.595
2021-04-26,32,1 wk ahead cum death,point,NA,2021-05-01,5451.1788
2021-04-26,33,1 wk ahead cum death,point,NA,2021-05-01,1290.9152
2021-04-26,34,1 wk ahead cum death,point,NA,2021-05-01,25627.0772
2021-04-26,35,1 wk ahead cum death,point,NA,2021-05-01,4040.3878
2021-04-26,36,1 wk ahead cum death,point,NA,2021-05-01,52382.9494
2021-04-26,37,1 wk ahead cum death,point,NA,2021-05-01,12604.2998
2021-04-26,38,1 wk ahead cum death,point,NA,2021-05-01,1522.5612
2021-04-26,39,1 wk ahead cum death,point,NA,2021-05-01,19141.7096
2021-04-26,40,1 wk ahead cum death,point,NA,2021-05-01,6727.1306
2021-04-26,41,1 wk ahead cum death,point,NA,2021-05-01,2503.382
