forecast_date,location,target,type,quantile,target_end_date,value
2021-03-22,01,1 wk ahead cum death,point,NA,2021-03-27,10538.5278
2021-03-22,02,1 wk ahead cum death,point,NA,2021-03-27,314.449
2021-03-22,04,1 wk ahead cum death,point,NA,2021-03-27,16913.5748
2021-03-22,05,1 wk ahead cum death,point,NA,2021-03-27,5608.7824
2021-03-22,06,1 wk ahead cum death,point,NA,2021-03-27,58546.9278
2021-03-22,08,1 wk ahead cum death,point,NA,2021-03-27,6105.6122
2021-03-22,09,1 wk ahead cum death,point,NA,2021-03-27,7905.8702
2021-03-22,10,1 wk ahead cum death,point,NA,2021-03-27,1550.1714
2021-03-22,11,1 wk ahead cum death,point,NA,2021-03-27,1059.1884
2021-03-22,12,1 wk ahead cum death,point,NA,2021-03-27,33106.7804
2021-03-22,13,1 wk ahead cum death,point,NA,2021-03-27,18800.2526
2021-03-22,15,1 wk ahead cum death,point,NA,2021-03-27,455.9374
2021-03-22,16,1 wk ahead cum death,point,NA,2021-03-27,1958.7594
2021-03-22,17,1 wk ahead cum death,point,NA,2021-03-27,23498.5702
2021-03-22,18,1 wk ahead cum death,point,NA,2021-03-27,13028.7872
2021-03-22,19,1 wk ahead cum death,point,NA,2021-03-27,5722.6216
2021-03-22,20,1 wk ahead cum death,point,NA,2021-03-27,4816.6856
2021-03-22,21,1 wk ahead cum death,point,NA,2021-03-27,6091.191
2021-03-22,22,1 wk ahead cum death,point,NA,2021-03-27,10070.8496
2021-03-22,23,1 wk ahead cum death,point,NA,2021-03-27,734.6706
2021-03-22,24,1 wk ahead cum death,point,NA,2021-03-27,8256.3436
2021-03-22,25,1 wk ahead cum death,point,NA,2021-03-27,17042.5316
2021-03-22,26,1 wk ahead cum death,point,NA,2021-03-27,17031.029
2021-03-22,27,1 wk ahead cum death,point,NA,2021-03-27,6902.8306
2021-03-22,28,1 wk ahead cum death,point,NA,2021-03-27,6995.438
2021-03-22,29,1 wk ahead cum death,point,NA,2021-03-27,8774.9946
2021-03-22,30,1 wk ahead cum death,point,NA,2021-03-27,1429.5052
2021-03-22,31,1 wk ahead cum death,point,NA,2021-03-27,2147.8738
2021-03-22,32,1 wk ahead cum death,point,NA,2021-03-27,5214.6186
2021-03-22,33,1 wk ahead cum death,point,NA,2021-03-27,1234.8816
2021-03-22,34,1 wk ahead cum death,point,NA,2021-03-27,24525.8602
2021-03-22,35,1 wk ahead cum death,point,NA,2021-03-27,3924.6724
2021-03-22,36,1 wk ahead cum death,point,NA,2021-03-27,49871.2702
2021-03-22,37,1 wk ahead cum death,point,NA,2021-03-27,11931.2946
2021-03-22,38,1 wk ahead cum death,point,NA,2021-03-27,1495.9906
2021-03-22,39,1 wk ahead cum death,point,NA,2021-03-27,18350.1412
2021-03-22,40,1 wk ahead cum death,point,NA,2021-03-27,4805.9636
2021-03-22,41,1 wk ahead cum death,point,NA,2021-03-27,2392.7242
2021-03-22,42,1 wk ahead cum death,point,NA,2021-03-27,24969.548
2021-03-22,44,1 wk ahead cum death,point,NA,2021-03-27,2613.5544
2021-03-22,45,1 wk ahead cum death,point,NA,2021-03-27,9099.9478
2021-03-22,46,1 wk ahead cum death,point,NA,2021-03-27,1932.6748
2021-03-22,47,1 wk ahead cum death,point,NA,2021-03-27,11754.9726
2021-03-22,48,1 wk ahead cum death,point,NA,2021-03-27,48044.49400000001
2021-03-22,49,1 wk ahead cum death,point,NA,2021-03-27,2098.0704
2021-03-22,50,1 wk ahead cum death,point,NA,2021-03-27,224.2366
2021-03-22,51,1 wk ahead cum death,point,NA,2021-03-27,10294.8808
2021-03-22,53,1 wk ahead cum death,point,NA,2021-03-27,5220.117
2021-03-22,54,1 wk ahead cum death,point,NA,2021-03-27,2670.7696
2021-03-22,55,1 wk ahead cum death,point,NA,2021-03-27,7284.5356
2021-03-22,56,1 wk ahead cum death,point,NA,2021-03-27,701.3498
2021-03-22,US,1 wk ahead cum death,point,NA,2021-03-27,548336.0376
2021-03-22,01,1 wk ahead cum death,quantile,0.01,2021-03-27,10454.0
2021-03-22,02,1 wk ahead cum death,quantile,0.01,2021-03-27,310.0
2021-03-22,04,1 wk ahead cum death,quantile,0.01,2021-03-27,16797.0
2021-03-22,05,1 wk ahead cum death,quantile,0.01,2021-03-27,5566.0
2021-03-22,06,1 wk ahead cum death,quantile,0.01,2021-03-27,57879.0
2021-03-22,08,1 wk ahead cum death,quantile,0.01,2021-03-27,6082.0
2021-03-22,09,1 wk ahead cum death,quantile,0.01,2021-03-27,7853.0
2021-03-22,10,1 wk ahead cum death,quantile,0.01,2021-03-27,1535.0
2021-03-22,11,1 wk ahead cum death,quantile,0.01,2021-03-27,1052.0
2021-03-22,12,1 wk ahead cum death,quantile,0.01,2021-03-27,32873.0
2021-03-22,13,1 wk ahead cum death,quantile,0.01,2021-03-27,18629.0
2021-03-22,15,1 wk ahead cum death,quantile,0.01,2021-03-27,453.0
2021-03-22,16,1 wk ahead cum death,quantile,0.01,2021-03-27,1945.0
2021-03-22,17,1 wk ahead cum death,quantile,0.01,2021-03-27,23415.0
2021-03-22,18,1 wk ahead cum death,quantile,0.01,2021-03-27,12984.0
2021-03-22,19,1 wk ahead cum death,quantile,0.01,2021-03-27,5686.0
2021-03-22,20,1 wk ahead cum death,quantile,0.01,2021-03-27,4800.0
2021-03-22,21,1 wk ahead cum death,quantile,0.01,2021-03-27,5881.0
2021-03-22,22,1 wk ahead cum death,quantile,0.01,2021-03-27,10016.0
2021-03-22,23,1 wk ahead cum death,quantile,0.01,2021-03-27,729.0
2021-03-22,24,1 wk ahead cum death,quantile,0.01,2021-03-27,8207.0
2021-03-22,25,1 wk ahead cum death,quantile,0.01,2021-03-27,16949.0
2021-03-22,26,1 wk ahead cum death,quantile,0.01,2021-03-27,16942.0
2021-03-22,27,1 wk ahead cum death,quantile,0.01,2021-03-27,6867.0
2021-03-22,28,1 wk ahead cum death,quantile,0.01,2021-03-27,6969.0
2021-03-22,29,1 wk ahead cum death,quantile,0.01,2021-03-27,8731.0
2021-03-22,30,1 wk ahead cum death,quantile,0.01,2021-03-27,1416.0
2021-03-22,31,1 wk ahead cum death,quantile,0.01,2021-03-27,2136.0
2021-03-22,32,1 wk ahead cum death,quantile,0.01,2021-03-27,5185.0
2021-03-22,33,1 wk ahead cum death,quantile,0.01,2021-03-27,1220.0
2021-03-22,34,1 wk ahead cum death,quantile,0.01,2021-03-27,24323.0
2021-03-22,35,1 wk ahead cum death,quantile,0.01,2021-03-27,3902.0
2021-03-22,36,1 wk ahead cum death,quantile,0.01,2021-03-27,49615.0
2021-03-22,37,1 wk ahead cum death,quantile,0.01,2021-03-27,11859.0
2021-03-22,38,1 wk ahead cum death,quantile,0.01,2021-03-27,1492.0
2021-03-22,39,1 wk ahead cum death,quantile,0.01,2021-03-27,18341.0
2021-03-22,40,1 wk ahead cum death,quantile,0.01,2021-03-27,4791.0
2021-03-22,41,1 wk ahead cum death,quantile,0.01,2021-03-27,2371.0
2021-03-22,42,1 wk ahead cum death,quantile,0.01,2021-03-27,24870.0
2021-03-22,44,1 wk ahead cum death,quantile,0.01,2021-03-27,2600.0
2021-03-22,45,1 wk ahead cum death,quantile,0.01,2021-03-27,9042.0
2021-03-22,46,1 wk ahead cum death,quantile,0.01,2021-03-27,1924.0
2021-03-22,47,1 wk ahead cum death,quantile,0.01,2021-03-27,11724.0
2021-03-22,48,1 wk ahead cum death,quantile,0.01,2021-03-27,47662.0
2021-03-22,49,1 wk ahead cum death,quantile,0.01,2021-03-27,2074.0
2021-03-22,50,1 wk ahead cum death,quantile,0.01,2021-03-27,219.0
2021-03-22,51,1 wk ahead cum death,quantile,0.01,2021-03-27,10166.0
2021-03-22,53,1 wk ahead cum death,quantile,0.01,2021-03-27,5188.0
2021-03-22,54,1 wk ahead cum death,quantile,0.01,2021-03-27,2624.0
2021-03-22,55,1 wk ahead cum death,quantile,0.01,2021-03-27,7254.0
2021-03-22,56,1 wk ahead cum death,quantile,0.01,2021-03-27,693.0
2021-03-22,US,1 wk ahead cum death,quantile,0.01,2021-03-27,546363.0
2021-03-22,01,1 wk ahead cum death,quantile,0.025,2021-03-27,10461.0
2021-03-22,02,1 wk ahead cum death,quantile,0.025,2021-03-27,310.0
2021-03-22,04,1 wk ahead cum death,quantile,0.025,2021-03-27,16806.0
2021-03-22,05,1 wk ahead cum death,quantile,0.025,2021-03-27,5570.0
2021-03-22,06,1 wk ahead cum death,quantile,0.025,2021-03-27,57966.0
2021-03-22,08,1 wk ahead cum death,quantile,0.025,2021-03-27,6084.0
2021-03-22,09,1 wk ahead cum death,quantile,0.025,2021-03-27,7857.0
2021-03-22,10,1 wk ahead cum death,quantile,0.025,2021-03-27,1536.0
2021-03-22,11,1 wk ahead cum death,quantile,0.025,2021-03-27,1052.0
