forecast_date,location,target,type,quantile,target_end_date,value
2021-10-18,01,1 wk ahead cum death,point,NA,2021-10-23,15691.4712
2021-10-18,02,1 wk ahead cum death,point,NA,2021-10-23,684.033
2021-10-18,04,1 wk ahead cum death,point,NA,2021-10-23,20713.486
2021-10-18,05,1 wk ahead cum death,point,NA,2021-10-23,8357.0206
2021-10-18,06,1 wk ahead cum death,point,NA,2021-10-23,71112.2742
2021-10-18,08,1 wk ahead cum death,point,NA,2021-10-23,8062.8152
2021-10-18,09,1 wk ahead cum death,point,NA,2021-10-23,8769.1028
2021-10-18,10,1 wk ahead cum death,point,NA,2021-10-23,2071.2666
2021-10-18,11,1 wk ahead cum death,point,NA,2021-10-23,1186.2062
2021-10-18,12,1 wk ahead cum death,point,NA,2021-10-23,59097.8892
2021-10-18,13,1 wk ahead cum death,point,NA,2021-10-23,28415.2424
2021-10-18,15,1 wk ahead cum death,point,NA,2021-10-23,907.6522
2021-10-18,16,1 wk ahead cum death,point,NA,2021-10-23,3448.7842
2021-10-18,17,1 wk ahead cum death,point,NA,2021-10-23,28173.784
2021-10-18,18,1 wk ahead cum death,point,NA,2021-10-23,16628.259
2021-10-18,19,1 wk ahead cum death,point,NA,2021-10-23,6854.5892
2021-10-18,20,1 wk ahead cum death,point,NA,2021-10-23,6255.637
2021-10-18,21,1 wk ahead cum death,point,NA,2021-10-23,9614.8242
2021-10-18,22,1 wk ahead cum death,point,NA,2021-10-23,14536.0404
2021-10-18,23,1 wk ahead cum death,point,NA,2021-10-23,1129.1212
2021-10-18,24,1 wk ahead cum death,point,NA,2021-10-23,10804.8228
2021-10-18,25,1 wk ahead cum death,point,NA,2021-10-23,18905.5192
2021-10-18,26,1 wk ahead cum death,point,NA,2021-10-23,23460.4774
2021-10-18,27,1 wk ahead cum death,point,NA,2021-10-23,8677.0226
2021-10-18,28,1 wk ahead cum death,point,NA,2021-10-23,10122.1134
2021-10-18,29,1 wk ahead cum death,point,NA,2021-10-23,12592.1398
2021-10-18,30,1 wk ahead cum death,point,NA,2021-10-23,2217.4944
2021-10-18,31,1 wk ahead cum death,point,NA,2021-10-23,2468.9542
2021-10-18,32,1 wk ahead cum death,point,NA,2021-10-23,7556.3974
2021-10-18,33,1 wk ahead cum death,point,NA,2021-10-23,1543.4644
2021-10-18,34,1 wk ahead cum death,point,NA,2021-10-23,27868.6416
2021-10-18,35,1 wk ahead cum death,point,NA,2021-10-23,5010.0212
2021-10-18,36,1 wk ahead cum death,point,NA,2021-10-23,56196.0692
2021-10-18,37,1 wk ahead cum death,point,NA,2021-10-23,17941.2472
2021-10-18,38,1 wk ahead cum death,point,NA,2021-10-23,1743.418
2021-10-18,39,1 wk ahead cum death,point,NA,2021-10-23,23576.3094
2021-10-18,40,1 wk ahead cum death,point,NA,2021-10-23,9561.7826
2021-10-18,41,1 wk ahead cum death,point,NA,2021-10-23,4373.2162
2021-10-18,42,1 wk ahead cum death,point,NA,2021-10-23,30896.8868
2021-10-18,44,1 wk ahead cum death,point,NA,2021-10-23,2873.1952
2021-10-18,45,1 wk ahead cum death,point,NA,2021-10-23,13539.4022
2021-10-18,46,1 wk ahead cum death,point,NA,2021-10-23,2228.1092
2021-10-18,47,1 wk ahead cum death,point,NA,2021-10-23,16185.468
2021-10-18,48,1 wk ahead cum death,point,NA,2021-10-23,70431.3874
2021-10-18,49,1 wk ahead cum death,point,NA,2021-10-23,3153.375
2021-10-18,50,1 wk ahead cum death,point,NA,2021-10-23,360.2362
2021-10-18,51,1 wk ahead cum death,point,NA,2021-10-23,13667.6268
2021-10-18,53,1 wk ahead cum death,point,NA,2021-10-23,8502.487
2021-10-18,54,1 wk ahead cum death,point,NA,2021-10-23,4309.4484
2021-10-18,55,1 wk ahead cum death,point,NA,2021-10-23,9374.788
2021-10-18,56,1 wk ahead cum death,point,NA,2021-10-23,1172.995
2021-10-18,US,1 wk ahead cum death,point,NA,2021-10-23,736590.322
2021-10-18,01,1 wk ahead cum death,quantile,0.01,2021-10-23,15297.0
2021-10-18,02,1 wk ahead cum death,quantile,0.01,2021-10-23,622.0
2021-10-18,04,1 wk ahead cum death,quantile,0.01,2021-10-23,20555.0
2021-10-18,05,1 wk ahead cum death,quantile,0.01,2021-10-23,8264.0
2021-10-18,06,1 wk ahead cum death,quantile,0.01,2021-10-23,70820.0
2021-10-18,08,1 wk ahead cum death,quantile,0.01,2021-10-23,7938.0
2021-10-18,09,1 wk ahead cum death,quantile,0.01,2021-10-23,8727.0
2021-10-18,10,1 wk ahead cum death,quantile,0.01,2021-10-23,2042.0
2021-10-18,11,1 wk ahead cum death,quantile,0.01,2021-10-23,1183.0
2021-10-18,12,1 wk ahead cum death,quantile,0.01,2021-10-23,58001.0
2021-10-18,13,1 wk ahead cum death,quantile,0.01,2021-10-23,28020.0
2021-10-18,15,1 wk ahead cum death,quantile,0.01,2021-10-23,880.0
2021-10-18,16,1 wk ahead cum death,quantile,0.01,2021-10-23,3313.0
2021-10-18,17,1 wk ahead cum death,quantile,0.01,2021-10-23,27968.0
2021-10-18,18,1 wk ahead cum death,quantile,0.01,2021-10-23,16388.0
2021-10-18,19,1 wk ahead cum death,quantile,0.01,2021-10-23,6755.0
2021-10-18,20,1 wk ahead cum death,quantile,0.01,2021-10-23,6177.0
2021-10-18,21,1 wk ahead cum death,quantile,0.01,2021-10-23,9407.0
2021-10-18,22,1 wk ahead cum death,quantile,0.01,2021-10-23,14374.0
2021-10-18,23,1 wk ahead cum death,quantile,0.01,2021-10-23,1101.0
2021-10-18,24,1 wk ahead cum death,quantile,0.01,2021-10-23,10748.0
2021-10-18,25,1 wk ahead cum death,quantile,0.01,2021-10-23,18856.0
2021-10-18,26,1 wk ahead cum death,quantile,0.01,2021-10-23,23058.0
2021-10-18,27,1 wk ahead cum death,quantile,0.01,2021-10-23,8587.0
2021-10-18,28,1 wk ahead cum death,quantile,0.01,2021-10-23,9983.0
2021-10-18,29,1 wk ahead cum death,quantile,0.01,2021-10-23,12408.0
2021-10-18,30,1 wk ahead cum death,quantile,0.01,2021-10-23,2152.0
2021-10-18,31,1 wk ahead cum death,quantile,0.01,2021-10-23,2447.0
2021-10-18,32,1 wk ahead cum death,quantile,0.01,2021-10-23,7459.0
2021-10-18,33,1 wk ahead cum death,quantile,0.01,2021-10-23,1525.0
2021-10-18,34,1 wk ahead cum death,quantile,0.01,2021-10-23,27782.0
2021-10-18,35,1 wk ahead cum death,quantile,0.01,2021-10-23,4955.0
2021-10-18,36,1 wk ahead cum death,quantile,0.01,2021-10-23,56063.0
2021-10-18,37,1 wk ahead cum death,quantile,0.01,2021-10-23,17594.0
2021-10-18,38,1 wk ahead cum death,quantile,0.01,2021-10-23,1721.0
2021-10-18,39,1 wk ahead cum death,quantile,0.01,2021-10-23,23429.0
