forecast_date,location,target,type,quantile,target_end_date,value
2021-02-22,01,1 wk ahead cum death,point,NA,2021-02-27,10265.5576
2021-02-22,02,1 wk ahead cum death,point,NA,2021-02-27,294.2338
2021-02-22,04,1 wk ahead cum death,point,NA,2021-02-27,16277.492
2021-02-22,05,1 wk ahead cum death,point,NA,2021-02-27,5493.524
2021-02-22,06,1 wk ahead cum death,point,NA,2021-02-27,52077.4864
2021-02-22,08,1 wk ahead cum death,point,NA,2021-02-27,5964.9586
2021-02-22,09,1 wk ahead cum death,point,NA,2021-02-27,7682.3796
2021-02-22,10,1 wk ahead cum death,point,NA,2021-02-27,1385.5364
2021-02-22,11,1 wk ahead cum death,point,NA,2021-02-27,1013.334
2021-02-22,12,1 wk ahead cum death,point,NA,2021-02-27,31135.137
2021-02-22,13,1 wk ahead cum death,point,NA,2021-02-27,17529.981
2021-02-22,15,1 wk ahead cum death,point,NA,2021-02-27,442.4046
2021-02-22,16,1 wk ahead cum death,point,NA,2021-02-27,1865.0652
2021-02-22,17,1 wk ahead cum death,point,NA,2021-02-27,22771.8894
2021-02-22,18,1 wk ahead cum death,point,NA,2021-02-27,12581.5512
2021-02-22,19,1 wk ahead cum death,point,NA,2021-02-27,5446.2912
2021-02-22,20,1 wk ahead cum death,point,NA,2021-02-27,4881.367
2021-02-22,21,1 wk ahead cum death,point,NA,2021-02-27,4625.6894
2021-02-22,22,1 wk ahead cum death,point,NA,2021-02-27,9800.4274
2021-02-22,23,1 wk ahead cum death,point,NA,2021-02-27,674.3346
2021-02-22,24,1 wk ahead cum death,point,NA,2021-02-27,7859.4054
2021-02-22,25,1 wk ahead cum death,point,NA,2021-02-27,16146.712
2021-02-22,26,1 wk ahead cum death,point,NA,2021-02-27,16729.7276
2021-02-22,27,1 wk ahead cum death,point,NA,2021-02-27,6558.7812
2021-02-22,28,1 wk ahead cum death,point,NA,2021-02-27,6729.1168
2021-02-22,29,1 wk ahead cum death,point,NA,2021-02-27,8280.1744
