"target_end_date","location","target","quantile","value","type","forecast_date"
2021-05-01,"01","1 wk ahead inc death",0.01,22.8396676455566,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.025,25.5563476794655,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.05,29.6150902711489,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.1,34.6052837167507,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.15,38.0230004841275,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.2,40.5144053509341,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.25,42.9415302601189,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.3,45.2381388187334,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.35,47.6344422587409,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.4,50.1434280522423,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.45,52.318995529859,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.5,54.4686604029143,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.55,57.0719057845818,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.6,59.636798232072,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.65,62.3092092147655,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.7,65.7944937471738,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.75,69.4568926923,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.8,72.8077089122734,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.85,77.8979738167211,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.9,84.6945351733984,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.95,93.4955913531304,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.975,105.160953936277,"quantile",2021-04-26
2021-05-01,"01","1 wk ahead inc death",0.99,114.0763228542,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.01,1.18833884454484,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.025,1.35005592910014,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.05,1.4940791608941,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.1,1.66886776864231,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.15,1.8074322439523,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.2,2.428274411686,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.25,2.5409393885624,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.3,2.67407330753838,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.35,2.82371115757349,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.4,2.92791424064463,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.45,3.07365082469342,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.5,3.65823438705746,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.55,3.74752709249852,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.6,3.91055339190064,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.65,4.02396151943303,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.7,4.15191683172101,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.75,4.75523523109377,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.8,4.93400050386022,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.85,5.55481553461926,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.9,5.73946268844261,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.95,6.79615524716028,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.975,7.56926473464705,"quantile",2021-04-26
2021-05-01,"02","1 wk ahead inc death",0.99,8.84161556066432,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.01,42.4088727479896,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.025,47.612817367188,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.05,52.2825867072317,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.1,58.3049414840703,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.15,62.2927236842449,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.2,65.3290305157069,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.25,69.0830065751876,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.3,71.9999873085956,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.35,74.2066385186642,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.4,76.8367650730269,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.45,78.9459659074555,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.5,81.0527775096996,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.55,84.7745521117603,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.6,87.7118464508537,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.65,91.1883014820506,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.7,94.5598274768494,"quantile",2021-04-26
2021-05-01,"04","1 wk ahead inc death",0.75,98.4595511156452,"quantile",2021-04-26
