quantile,value,type,location,target,forecast_date,target_end_date
0.010,1796,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.025,1864,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.050,1957,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.100,2064,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.150,2152,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.200,2237,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.250,2295,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.300,2341,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.350,2387,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.400,2444,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.450,2487,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.500,2540,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
NA,2540,point,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.550,2596,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.600,2652,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.650,2708,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.700,2779,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.750,2857,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.800,2944,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.850,3015,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.900,3141,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.950,3311,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.975,3444,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.990,3649,quantile,US,1 wk ahead inc death,2021-07-25,2021-07-31
0.010,2181,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.025,2327,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.050,2450,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.100,2591,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.150,2709,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.200,2820,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.250,2918,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.300,3001,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.350,3074,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.400,3147,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.450,3236,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.500,3328,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
NA,3328,point,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.550,3398,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.600,3462,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.650,3531,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.700,3613,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.750,3704,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.800,3825,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.850,3942,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.900,4094,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.950,4401,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.975,4619,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.990,4866,quantile,US,2 wk ahead inc death,2021-07-25,2021-08-07
0.010,2684,quantile,US,3 wk ahead inc death,2021-07-25,2021-08-14
0.025,2875,quantile,US,3 wk ahead inc death,2021-07-25,2021-08-14
0.050,3044,quantile,US,3 wk ahead inc death,2021-07-25,2021-08-14
0.100,3322,quantile,US,3 wk ahead inc death,2021-07-25,2021-08-14
