,quantile,value,type,location,target,forecast_date,target_end_date
0,0.010,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
1,0.025,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
2,0.050,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
3,0.100,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
4,0.150,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
5,0.200,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
6,0.250,9,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
7,0.300,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
8,0.350,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
9,0.400,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
10,0.450,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
11,0.500,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
12,NA,10,point,02,1 wk ahead cum death,2020-05-03,2020-05-09
13,0.550,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
14,0.600,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
15,0.650,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
16,0.700,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
17,0.750,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
18,0.800,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
19,0.850,10,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
20,0.900,11,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
21,0.950,11,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
22,0.975,11,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
23,0.990,12,quantile,02,1 wk ahead cum death,2020-05-03,2020-05-09
24,0.010,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
25,0.025,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
26,0.050,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
27,0.100,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
28,0.150,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
29,0.200,9,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
30,0.250,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
31,0.300,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
32,0.350,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
33,0.400,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
34,0.450,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
35,0.500,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
36,NA,10,point,02,2 wk ahead cum death,2020-05-03,2020-05-16
37,0.550,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
38,0.600,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
39,0.650,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
40,0.700,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
41,0.750,10,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
42,0.800,11,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
43,0.850,11,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
44,0.900,11,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
45,0.950,11,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
46,0.975,12,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
47,0.990,13,quantile,02,2 wk ahead cum death,2020-05-03,2020-05-16
48,0.010,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
49,0.025,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
50,0.050,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
51,0.100,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
52,0.150,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
53,0.200,9,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
54,0.250,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
55,0.300,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
56,0.350,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
57,0.400,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
58,0.450,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
59,0.500,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
60,NA,10,point,02,3 wk ahead cum death,2020-05-03,2020-05-23
61,0.550,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
62,0.600,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
63,0.650,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
64,0.700,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
65,0.750,10,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
66,0.800,11,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
67,0.850,11,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
68,0.900,11,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
69,0.950,12,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
70,0.975,13,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
71,0.990,27,quantile,02,3 wk ahead cum death,2020-05-03,2020-05-23
