quantile;value;type;location;target;forecast_date;target_end_date
0.01;107452;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.025;107716;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.05;107927;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.1;108281;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.15;108495;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.2;108679;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.25;108832;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.3;108979;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.35;109105;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.4;109206;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.45;109365;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.5;109468;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
;109468;point;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.55;109604;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.6;109783;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.65;109943;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.7;110060;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.75;110234;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.8;110497;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.85;110756;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.9;111184;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.95;111752;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.975;112312;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.99;112886;quantile;US;1 wk ahead cum death;2020-05-31;2020-06-06
0.01;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.025;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.05;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.1;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.15;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.2;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.25;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.3;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.35;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.4;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.45;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.5;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
;10;point;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.55;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.6;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.65;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
0.7;10;quantile;2;1 wk ahead cum death;2020-05-31;2020-06-06
