quantile,value,type,location,target,forecast_date,target_end_date
0.010,9493,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.025,10329,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.050,10907,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.100,11714,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.150,12366,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.200,12818,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.250,13266,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.300,13685,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.350,14052,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.400,14509,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.450,14909,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.500,15484,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
NA,15484,point,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.550,15926,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.600,16267,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.650,16609,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.700,17083,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.750,17524,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.800,18202,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.850,18918,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.900,19813,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.950,21487,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.975,22691,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.990,23697,quantile,US,1 wk ahead inc death,2022-01-02,2022-01-08
0.010,11601,quantile,US,2 wk ahead inc death,2022-01-02,2022-01-15
