quantile,value,type,location,target,forecast_date,target_end_date
0.010,2941,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.025,3094,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.050,3236,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.100,3386,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.150,3489,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.200,3561,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.250,3628,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.300,3708,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.350,3812,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.400,3906,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.450,3975,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.500,4042,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
NA,4042,point,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.550,4094,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.600,4166,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.650,4232,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.700,4322,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.750,4412,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.800,4503,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.850,4600,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.900,4795,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.950,4968,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.975,5231,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.990,5487,quantile,US,1 wk ahead inc death,2021-05-09,2021-05-15
0.010,2437,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.025,2556,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.050,2680,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.100,2848,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.150,2965,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.200,3051,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.250,3149,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.300,3213,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.350,3291,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.400,3362,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.450,3428,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.500,3512,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
NA,3512,point,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.550,3572,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
0.600,3663,quantile,US,2 wk ahead inc death,2021-05-09,2021-05-22
