quantile,value,type,location,target,forecast_date,target_end_date
0.010,2894,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.025,3034,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.050,3257,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.100,3489,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.150,3651,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.200,3807,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.250,3938,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.300,4034,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.350,4131,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.400,4227,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.450,4328,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.500,4428,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
,4428,point,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.550,4545,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.600,4663,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.650,4782,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.700,4903,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.750,5032,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.800,5168,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.850,5360,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.900,5645,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.950,6043,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.975,6278,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.990,6670,quantile,US,1 wk ahead inc death,2020-06-21,2020-06-27
0.010,2472,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.025,2692,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.050,2924,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.100,3234,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.150,3480,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.200,3721,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.250,3873,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.300,4050,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.350,4191,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.400,4341,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.450,4493,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.500,4636,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
,4636,point,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.550,4776,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.600,4952,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.650,5138,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.700,5291,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.750,5489,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.800,5772,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.850,6098,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.900,6412,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.950,6985,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.975,7582,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.990,8291,quantile,US,2 wk ahead inc death,2020-06-21,2020-07-04
0.010,1880,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.025,2231,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.050,2539,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.100,2931,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.150,3280,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.200,3548,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.250,3786,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.300,4037,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.350,4289,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.400,4491,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.450,4706,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.500,4930,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
,4930,point,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.550,5235,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.600,5538,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.650,5853,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.700,6232,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.750,6570,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.800,6987,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.850,7499,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.900,7920,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.950,9071,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.975,9875,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.990,11111,quantile,US,3 wk ahead inc death,2020-06-21,2020-07-11
0.010,1420,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.025,1690,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.050,2122,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.100,2615,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.150,3003,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.200,3351,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.250,3660,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.300,4050,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.350,4313,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.400,4651,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.450,5030,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.500,5407,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
,5407,point,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.550,5776,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.600,6239,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.650,6679,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.700,7128,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.750,7791,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.800,8689,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.850,9477,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.900,10311,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.950,11619,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.975,13053,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.990,14722,quantile,US,4 wk ahead inc death,2020-06-21,2020-07-18
0.010,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.025,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.050,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.100,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.150,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.200,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.250,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.300,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.350,0,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.400,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.450,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.500,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
,1,point,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.550,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.600,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.650,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.700,1,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.750,2,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.800,2,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.850,2,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.900,3,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.950,3,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.975,4,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.990,4,quantile,02,1 wk ahead inc death,2020-06-21,2020-06-27
0.010,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.025,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.050,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.100,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.150,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.200,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.250,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.300,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.350,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.400,0,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.450,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.500,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
,1,point,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.550,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.600,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.650,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.700,1,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.750,2,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.800,2,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.850,2,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.900,3,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.950,3,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
0.975,4,quantile,02,2 wk ahead inc death,2020-06-21,2020-07-04
