location,target_end_date,quantile,value,type,forecast_date,target
01,2024-04-22,0.010,6.03,quantile,2024-04-22,0 day ahead inc hosp
01,2024-04-23,0.010,5.89,quantile,2024-04-22,1 day ahead inc hosp
01,2024-04-24,0.010,5.81,quantile,2024-04-22,2 day ahead inc hosp
01,2024-04-25,0.010,5.62,quantile,2024-04-22,3 day ahead inc hosp
01,2024-04-26,0.010,5.44,quantile,2024-04-22,4 day ahead inc hosp
01,2024-04-27,0.010,5.18,quantile,2024-04-22,5 day ahead inc hosp
01,2024-04-28,0.010,4.74,quantile,2024-04-22,6 day ahead inc hosp
01,2024-04-29,0.010,4.27,quantile,2024-04-22,7 day ahead inc hosp
01,2024-04-30,0.010,4.12,quantile,2024-04-22,8 day ahead inc hosp
01,2024-05-01,0.010,4.11,quantile,2024-04-22,9 day ahead inc hosp
01,2024-05-02,0.010,3.99,quantile,2024-04-22,10 day ahead inc hosp
01,2024-05-03,0.010,3.79,quantile,2024-04-22,11 day ahead inc hosp
01,2024-05-04,0.010,3.56,quantile,2024-04-22,12 day ahead inc hosp
01,2024-05-05,0.010,3.28,quantile,2024-04-22,13 day ahead inc hosp
01,2024-05-06,0.010,2.9,quantile,2024-04-22,14 day ahead inc hosp
01,2024-05-07,0.010,2.87,quantile,2024-04-22,15 day ahead inc hosp
01,2024-05-08,0.010,2.78,quantile,2024-04-22,16 day ahead inc hosp
01,2024-05-09,0.010,2.63,quantile,2024-04-22,17 day ahead inc hosp
01,2024-05-10,0.010,2.54,quantile,2024-04-22,18 day ahead inc hosp
01,2024-05-11,0.010,2.28,quantile,2024-04-22,19 day ahead inc hosp
01,2024-05-12,0.010,2.06,quantile,2024-04-22,20 day ahead inc hosp
01,2024-05-13,0.010,1.84,quantile,2024-04-22,21 day ahead inc hosp
01,2024-05-14,0.010,1.65,quantile,2024-04-22,22 day ahead inc hosp
01,2024-05-15,0.010,1.59,quantile,2024-04-22,23 day ahead inc hosp
01,2024-05-16,0.010,1.52,quantile,2024-04-22,24 day ahead inc hosp
01,2024-05-17,0.010,1.43,quantile,2024-04-22,25 day ahead inc hosp
01,2024-05-18,0.010,1.34,quantile,2024-04-22,26 day ahead inc hosp
01,2024-05-19,0.010,1.27,quantile,2024-04-22,27 day ahead inc hosp
01,2024-05-20,0.010,1.14,quantile,2024-04-22,28 day ahead inc hosp
01,2024-05-21,0.010,1.07,quantile,2024-04-22,29 day ahead inc hosp
01,2024-05-22,0.010,1.02,quantile,2024-04-22,30 day ahead inc hosp
