location,target,target_end_date,forecast_date,type,quantile,value
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.025,1825
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.10,1834
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.25,1840
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.50,1848
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.75,1855
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.90,1864
01,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.975,1871
01,1 wk ahead cum death,2020-08-08,2020-08-02,point,NA,1849
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.025,30
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.10,30
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.25,30
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.50,30
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.75,31
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.90,31
02,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.975,31
02,1 wk ahead cum death,2020-08-08,2020-08-02,point,NA,30
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.025,4286
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.10,4312
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.25,4327
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.50,4349
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.75,4368
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.90,4386
04,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.975,4402
04,1 wk ahead cum death,2020-08-08,2020-08-02,point,NA,4349
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.025,543
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.10,546
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.25,549
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.50,553
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.75,557
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.90,559
05,1 wk ahead cum death,2020-08-08,2020-08-02,quantile,0.975,563
