location,target,target_end_date,forecast_date,type,quantile,value
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,2102
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,2106
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,2110
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,2114
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,2118
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,2121
01,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,2124
01,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,2115
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,36
02,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,37
02,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,36
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,4878
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,4887
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,4893
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,4900
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,4907
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,4913
04,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,4920
04,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,4901
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,698
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,701
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,702
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,705
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,706
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,708
05,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,710
05,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,705
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,12429
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,12451
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,12472
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,12496
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,12516
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,12534
06,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,12554
06,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,12497
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,1993
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,1995
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,1997
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,1999
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,2001
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,2002
08,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,2004
08,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,1999
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,4539
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,4541
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,4543
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,4545
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,4546
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,4548
09,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,4549
09,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,4545
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,623
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,623
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,624
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,624
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,625
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,625
10,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,626
10,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,624
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,620
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,621
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,621
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,622
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,622
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,623
11,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,623
11,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,622
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,10632
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,10663
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,10683
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,10706
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,10727
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,10745
12,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,10762
12,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,10708
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,5174
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,5185
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,5193
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,5202
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,5211
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,5218
13,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,5226
13,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,5203
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,51
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,51
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,51
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,51
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,51
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,52
15,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,52
15,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,51
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,322
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,323
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,324
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,325
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,326
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,327
16,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,327
16,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,325
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,8337
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,8344
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,8350
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,8357
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,8365
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,8371
17,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,8378
17,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,8359
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,3281
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,3284
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.25,3287
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.50,3290
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.75,3293
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.90,3295
18,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.975,3297
18,1 wk ahead cum death,2020-08-22,2020-08-16,point,NA,3290
19,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.025,1073
19,1 wk ahead cum death,2020-08-22,2020-08-16,quantile,0.10,1075
