date,location,value
2020-03-13,01,6
2020-03-14,01,12
2020-03-15,01,23
2020-03-16,01,29
2020-03-17,01,39
2020-03-18,01,51
2020-03-19,01,78
2020-03-20,01,106
2020-03-21,01,131
2020-03-22,01,157
2020-03-23,01,196
2020-03-24,01,242
2020-03-25,01,386
2020-03-26,01,538
2020-03-27,01,639
2020-03-28,01,720
2020-03-29,01,830
2020-03-30,01,947
2020-03-31,01,999
2020-04-01,01,1106
2020-04-02,01,1270
2020-04-03,01,1535
2020-04-04,01,1633
2020-04-05,01,1841
2020-04-06,01,2006
2020-04-07,01,2197
2020-04-08,01,2499
2020-04-09,01,2838
2020-04-10,01,3008
2020-04-11,01,3262
2020-04-12,01,3583
2020-04-13,01,3805
2020-04-14,01,3953
2020-04-15,01,4241
2020-04-16,01,4404
2020-04-17,01,4572
2020-04-18,01,4723
2020-04-19,01,4903
2020-04-20,01,5078
2020-04-21,01,5327
2020-04-22,01,5610
2020-04-23,01,5832
2020-04-24,01,6026
2020-04-25,01,6213
2020-04-26,01,6421
2020-04-27,01,6539
2020-04-28,01,6750
2020-04-29,01,6925
2020-04-30,01,7068
2020-05-01,01,7294
2020-05-02,01,7611
2020-05-03,01,7888
2020-03-12,02,1
2020-03-13,02,1
2020-03-14,02,1
2020-03-15,02,1
2020-03-16,02,3
2020-03-17,02,6
2020-03-18,02,9
2020-03-19,02,12
2020-03-20,02,14
2020-03-21,02,21
2020-03-22,02,22
2020-03-23,02,36
2020-03-24,02,42
2020-03-25,02,59
2020-03-26,02,69
2020-03-27,02,85
2020-03-28,02,102
2020-03-29,02,114
2020-03-30,02,119
2020-03-31,02,133
2020-04-01,02,143
2020-04-02,02,146
2020-04-03,02,156
2020-04-04,02,169
2020-04-05,02,183
2020-04-06,02,189
2020-04-07,02,211
2020-04-08,02,224
2020-04-09,02,233
2020-04-10,02,244
2020-04-11,02,255
2020-04-12,02,270
2020-04-13,02,275
2020-04-14,02,283
2020-04-15,02,291
2020-04-16,02,298
2020-04-17,02,307
2020-04-18,02,312
2020-04-19,02,317
2020-04-20,02,319
2020-04-21,02,327
2020-04-22,02,333
2020-04-23,02,335
2020-04-24,02,337
2020-04-25,02,337
2020-04-26,02,339
2020-04-27,02,343
2020-04-28,02,349
2020-04-29,02,353
2020-04-30,02,353
2020-05-01,02,362
2020-05-02,02,363
2020-05-03,02,366
2020-01-26,04,1
2020-01-27,04,1
2020-01-28,04,1
2020-01-29,04,1
2020-01-30,04,1
2020-01-31,04,1
2020-02-01,04,1
2020-02-02,04,1
2020-02-03,04,1
2020-02-04,04,1
2020-02-05,04,1
2020-02-06,04,1
2020-02-07,04,1
2020-02-08,04,1
2020-02-09,04,1
2020-02-10,04,1
2020-02-11,04,1
2020-02-12,04,1
2020-02-13,04,1
2020-02-14,04,1
2020-02-15,04,1
2020-02-16,04,1
2020-02-17,04,1
2020-02-18,04,1
2020-02-19,04,1
2020-02-20,04,1
2020-02-21,04,1
2020-02-22,04,1
2020-02-23,04,1
2020-02-24,04,1
2020-02-25,04,1
2020-02-26,04,1
