date,location,value
2020-03-13,01,6
2020-03-14,01,6
2020-03-15,01,11
2020-03-16,01,6
2020-03-17,01,10
2020-03-18,01,12
2020-03-19,01,27
2020-03-20,01,28
2020-03-21,01,25
2020-03-22,01,26
2020-03-23,01,39
2020-03-24,01,46
2020-03-25,01,144
2020-03-26,01,152
2020-03-27,01,101
2020-03-28,01,81
2020-03-29,01,110
2020-03-30,01,117
2020-03-31,01,52
2020-04-01,01,107
2020-04-02,01,164
2020-04-03,01,265
2020-04-04,01,97
2020-04-05,01,208
2020-04-06,01,165
2020-04-07,01,192
2020-04-08,01,301
2020-04-09,01,340
2020-04-10,01,170
2020-04-11,01,254
2020-04-12,01,321
2020-04-13,01,222
2020-04-14,01,148
2020-04-15,01,288
2020-04-16,01,163
2020-04-17,01,168
2020-04-18,01,151
2020-04-19,01,180
2020-04-20,01,175
2020-04-21,01,249
2020-04-22,01,283
2020-04-23,01,222
2020-04-24,01,194
2020-04-25,01,187
2020-04-26,01,208
2020-04-27,01,118
2020-04-28,01,211
2020-04-29,01,175
2020-04-30,01,143
2020-05-01,01,226
2020-05-02,01,317
2020-05-03,01,277
2020-05-04,01,224
2020-05-05,01,325
2020-05-06,01,254
2020-05-07,01,355
2020-05-08,01,339
2020-05-09,01,283
2020-05-10,01,221
2020-05-11,01,275
2020-05-12,01,300
2020-05-13,01,236
2020-05-14,01,401
2020-05-15,01,272
2020-05-16,01,301
2020-05-17,01,97
2020-05-18,01,315
2020-05-19,01,290
2020-05-20,01,676
2020-05-21,01,362
2020-05-22,01,256
2020-05-23,01,479
2020-05-24,01,329
2020-05-25,01,508
2020-05-26,01,664
2020-05-27,01,382
2020-05-28,01,498
2020-05-29,01,501
2020-05-30,01,328
2020-05-31,01,593
2020-06-01,01,582
2020-06-02,01,237
2020-06-03,01,80
2020-06-04,01,221
2020-06-05,01,315
2020-06-06,01,656
2020-06-07,01,457
2020-06-08,01,425
2020-06-09,01,497
2020-06-10,01,567
2020-06-11,01,856
2020-06-12,01,865
2020-06-13,01,891
2020-06-14,01,1014
2020-06-15,01,657
2020-06-16,01,640
2020-06-17,01,400
2020-03-12,02,1
2020-03-13,02,0
2020-03-14,02,0
2020-03-15,02,0
2020-03-16,02,2
2020-03-17,02,3
2020-03-18,02,3
2020-03-19,02,3
2020-03-20,02,2
2020-03-21,02,7
2020-03-22,02,1
2020-03-23,02,14
2020-03-24,02,6
2020-03-25,02,17
2020-03-26,02,10
2020-03-27,02,16
2020-03-28,02,17
2020-03-29,02,12
2020-03-30,02,5
2020-03-31,02,14
2020-04-01,02,10
2020-04-02,02,3
2020-04-03,02,10
2020-04-04,02,13
2020-04-05,02,14
2020-04-06,02,6
2020-04-07,02,22
2020-04-08,02,13
2020-04-09,02,9
2020-04-10,02,11
2020-04-11,02,11
2020-04-12,02,15
2020-04-13,02,5
2020-04-14,02,8
2020-04-15,02,8
2020-04-16,02,7
2020-04-17,02,9
2020-04-18,02,5
2020-04-19,02,5
2020-04-20,02,2
2020-04-21,02,8
2020-04-22,02,6
2020-04-23,02,2
2020-04-24,02,2
2020-04-25,02,0
2020-04-26,02,2
2020-04-27,02,4
2020-04-28,02,6
2020-04-29,02,4
2020-04-30,02,0
2020-05-01,02,9
2020-05-02,02,1
2020-05-03,02,3
2020-05-04,02,2
2020-05-05,02,1
2020-05-06,02,1
2020-05-07,02,3
2020-05-08,02,3
2020-05-09,02,1
2020-05-10,02,1
2020-05-11,02,2
2020-05-12,02,3
2020-05-13,02,0
2020-05-14,02,4
2020-05-15,02,1
2020-05-16,02,4
2020-05-17,02,4
2020-05-18,02,3
2020-05-19,02,0
2020-05-20,02,3
2020-05-21,02,0
2020-05-22,02,2
2020-05-23,02,5
2020-05-24,02,0
2020-05-25,02,3
2020-05-26,02,4
2020-05-27,02,1
2020-05-28,02,13
2020-05-29,02,6
2020-05-30,02,5
2020-05-31,02,28
2020-06-01,02,7
2020-06-02,02,21
