forecast_date,target,target_end_date,location,type,quantile, value ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,point,NA," 18,250 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.01," 10,035 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.025," 12,340 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.05," 12,591 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.1," 13,093 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.15," 13,596 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.2," 14,098 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.25," 14,600 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.3," 15,330 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.35," 16,060 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.4," 16,790 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.45," 17,520 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.5," 18,250 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.55," 18,691 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.6," 19,133 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.65," 19,574 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.7," 20,016 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.75," 20,457 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.8," 20,702 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.85," 20,947 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.9," 21,192 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.95," 21,437 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.975," 21,559 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,US,quantile,0.99," 23,864 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,point,NA," 455,049 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.01," 446,834 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.025," 449,139 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.05," 449,390 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.1," 449,892 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.15," 450,395 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.2," 450,897 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.25," 451,399 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.3," 452,129 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.35," 452,859 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.4," 453,589 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.45," 454,319 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.5," 455,049 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.55," 455,490 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.6," 455,932 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.65," 456,373 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.7," 456,815 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.75," 457,256 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.8," 457,501 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.85," 457,746 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.9," 457,991 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.95," 458,236 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.975," 458,358 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,US,quantile,0.99," 460,663 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,point,NA," 15,523 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.01," 8,536 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.025," 10,496 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.05," 10,710 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.1," 11,137 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.15," 11,564 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.2," 11,991 ",,,,,,,,
