BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,CU-select,GT-DeepCOVID,JHU_IDD-CovidSP,JHUAPL-Bucky,JHUAPL-Gecko,Karlen-pypm,PSI-DICE,UMass-trends_ensemble,USC-SI_kJalpha,UT-Osiris,UVA-Ensemble,locations
0,0,1,0,0,0,1,0,0,0,0,1,0,0,60
0,0,1,0,0,0,1,1,0,1,1,1,0,0,78
1,1,1,0,0,0,1,1,1,1,1,1,0,1,72
1,1,1,1,0,1,1,1,1,1,1,1,0,1,15
1,1,1,1,1,1,1,1,1,1,1,1,0,1,01
1,1,1,1,1,1,1,1,1,1,1,1,0,1,02
1,1,1,1,1,1,1,1,1,1,1,1,0,1,04
1,1,1,1,1,1,1,1,1,1,1,1,0,1,05
1,1,1,1,1,1,1,1,1,1,1,1,0,1,06
1,1,1,1,1,1,1,1,1,1,1,1,0,1,08
1,1,1,1,1,1,1,1,1,1,1,1,0,1,09
1,1,1,1,1,1,1,1,1,1,1,1,0,1,10
1,1,1,1,1,1,1,1,1,1,1,1,0,1,11
1,1,1,1,1,1,1,1,1,1,1,1,0,1,12
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13
1,1,1,1,1,1,1,1,1,1,1,1,0,1,16
1,1,1,1,1,1,1,1,1,1,1,1,0,1,17
1,1,1,1,1,1,1,1,1,1,1,1,0,1,18
1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
1,1,1,1,1,1,1,1,1,1,1,1,0,1,20
1,1,1,1,1,1,1,1,1,1,1,1,0,1,21
1,1,1,1,1,1,1,1,1,1,1,1,0,1,22
1,1,1,1,1,1,1,1,1,1,1,1,0,1,23
1,1,1,1,1,1,1,1,1,1,1,1,0,1,24
1,1,1,1,1,1,1,1,1,1,1,1,0,1,25
1,1,1,1,1,1,1,1,1,1,1,1,0,1,26
1,1,1,1,1,1,1,1,1,1,1,1,0,1,27
1,1,1,1,1,1,1,1,1,1,1,1,0,1,28
1,1,1,1,1,1,1,1,1,1,1,1,0,1,29
1,1,1,1,1,1,1,1,1,1,1,1,0,1,30
1,1,1,1,1,1,1,1,1,1,1,1,0,1,31
1,1,1,1,1,1,1,1,1,1,1,1,0,1,32
1,1,1,1,1,1,1,1,1,1,1,1,0,1,33
1,1,1,1,1,1,1,1,1,1,1,1,0,1,34
1,1,1,1,1,1,1,1,1,1,1,1,0,1,35
1,1,1,1,1,1,1,1,1,1,1,1,0,1,36
1,1,1,1,1,1,1,1,1,1,1,1,0,1,37
1,1,1,1,1,1,1,1,1,1,1,1,0,1,38
1,1,1,1,1,1,1,1,1,1,1,1,0,1,39
1,1,1,1,1,1,1,1,1,1,1,1,0,1,40
1,1,1,1,1,1,1,1,1,1,1,1,0,1,41
1,1,1,1,1,1,1,1,1,1,1,1,0,1,42
1,1,1,1,1,1,1,1,1,1,1,1,0,1,44
1,1,1,1,1,1,1,1,1,1,1,1,0,1,45
1,1,1,1,1,1,1,1,1,1,1,1,0,1,46
1,1,1,1,1,1,1,1,1,1,1,1,0,1,47
1,1,1,1,1,1,1,1,1,1,1,1,0,1,48
1,1,1,1,1,1,1,1,1,1,1,1,0,1,49
1,1,1,1,1,1,1,1,1,1,1,1,0,1,50
1,1,1,1,1,1,1,1,1,1,1,1,0,1,51
1,1,1,1,1,1,1,1,1,1,1,1,0,1,53
1,1,1,1,1,1,1,1,1,1,1,1,0,1,54
1,1,1,1,1,1,1,1,1,1,1,1,0,1,55
1,1,1,1,1,1,1,1,1,1,1,1,0,1,56
1,1,1,1,1,1,1,1,1,1,1,1,0,1,US
