CEPH-Rtrend_covid,CMU-TimeSeries,COVIDhub-baseline,CUB_PopCouncil-SLSTM,JHU_IDD-CovidSP,JHUAPLTDWG-ICATTML,MOBS-GLEAM_COVID,MUNI-ARIMA,PSI-DICE,UMass-gbq,UMass-sarix,UMass-trends_ensemble,UT-Osiris,UVA-Ensemble,locations
0,0,1,0,0,0,0,0,1,1,1,1,0,0,78
0,0,1,0,0,1,0,0,1,1,1,1,0,0,72
0,0,1,1,0,1,1,1,1,1,1,0,1,1,42
0,0,1,1,0,1,1,1,1,1,1,1,1,1,06
0,0,1,1,0,1,1,1,1,1,1,1,1,1,13
0,0,1,1,0,1,1,1,1,1,1,1,1,1,18
0,0,1,1,0,1,1,1,1,1,1,1,1,1,24
0,0,1,1,0,1,1,1,1,1,1,1,1,1,27
0,0,1,1,0,1,1,1,1,1,1,1,1,1,37
0,0,1,1,0,1,1,1,1,1,1,1,1,1,49
0,0,1,1,0,1,1,1,1,1,1,1,1,1,51
0,0,1,1,0,1,1,1,1,1,1,1,1,1,53
0,1,1,1,0,1,1,1,1,1,1,0,1,1,05
0,1,1,1,0,1,1,1,1,1,1,1,0,1,US
0,1,1,1,0,1,1,1,1,1,1,1,1,1,01
0,1,1,1,0,1,1,1,1,1,1,1,1,1,02
0,1,1,1,0,1,1,1,1,1,1,1,1,1,04
0,1,1,1,0,1,1,1,1,1,1,1,1,1,08
0,1,1,1,0,1,1,1,1,1,1,1,1,1,09
0,1,1,1,0,1,1,1,1,1,1,1,1,1,10
0,1,1,1,0,1,1,1,1,1,1,1,1,1,11
0,1,1,1,0,1,1,1,1,1,1,1,1,1,12
0,1,1,1,0,1,1,1,1,1,1,1,1,1,15
0,1,1,1,0,1,1,1,1,1,1,1,1,1,16
0,1,1,1,0,1,1,1,1,1,1,1,1,1,17
0,1,1,1,0,1,1,1,1,1,1,1,1,1,19
0,1,1,1,0,1,1,1,1,1,1,1,1,1,20
0,1,1,1,0,1,1,1,1,1,1,1,1,1,21
0,1,1,1,0,1,1,1,1,1,1,1,1,1,22
0,1,1,1,0,1,1,1,1,1,1,1,1,1,23
0,1,1,1,0,1,1,1,1,1,1,1,1,1,25
0,1,1,1,0,1,1,1,1,1,1,1,1,1,26
0,1,1,1,0,1,1,1,1,1,1,1,1,1,28
0,1,1,1,0,1,1,1,1,1,1,1,1,1,29
0,1,1,1,0,1,1,1,1,1,1,1,1,1,30
0,1,1,1,0,1,1,1,1,1,1,1,1,1,31
0,1,1,1,0,1,1,1,1,1,1,1,1,1,32
0,1,1,1,0,1,1,1,1,1,1,1,1,1,33
0,1,1,1,0,1,1,1,1,1,1,1,1,1,34
0,1,1,1,0,1,1,1,1,1,1,1,1,1,35
0,1,1,1,0,1,1,1,1,1,1,1,1,1,36
0,1,1,1,0,1,1,1,1,1,1,1,1,1,38
0,1,1,1,0,1,1,1,1,1,1,1,1,1,39
0,1,1,1,0,1,1,1,1,1,1,1,1,1,40
0,1,1,1,0,1,1,1,1,1,1,1,1,1,41
0,1,1,1,0,1,1,1,1,1,1,1,1,1,44
0,1,1,1,0,1,1,1,1,1,1,1,1,1,45
0,1,1,1,0,1,1,1,1,1,1,1,1,1,46
0,1,1,1,0,1,1,1,1,1,1,1,1,1,47
0,1,1,1,0,1,1,1,1,1,1,1,1,1,48
0,1,1,1,0,1,1,1,1,1,1,1,1,1,50
0,1,1,1,0,1,1,1,1,1,1,1,1,1,54
0,1,1,1,0,1,1,1,1,1,1,1,1,1,55
0,1,1,1,0,1,1,1,1,1,1,1,1,1,56
