forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-10-04,1 wk ahead inc death,2021-10-09,AT,point,NA,70,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.010,33,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.025,39,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.050,44,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.100,50,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.150,54,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.200,57,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.250,60,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.300,62,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.350,64,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.400,66,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.450,68,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.500,70,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.550,72,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.600,74,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.650,76,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.700,78,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.750,81,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.800,83,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.850,87,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.900,90,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.950,96,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.975,101,forecast
2021-10-04,1 wk ahead inc death,2021-10-09,AT,quantile,0.99,107,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,point,NA,67,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.010,18,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.025,26,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.050,32,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.100,40,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.150,45,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.200,49,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.250,53,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.300,56,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.350,59,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.400,62,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.450,64,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.500,67,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.550,70,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.600,72,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.650,75,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.700,78,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.750,81,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.800,85,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.850,89,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.900,94,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.950,102,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.975,108,forecast
2021-10-04,2 wk ahead inc death,2021-10-16,AT,quantile,0.99,116,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,point,NA,63,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.010,2,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.025,11,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.050,20,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.100,29,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.150,36,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.200,41,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.250,45,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.300,49,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.350,53,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.400,56,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.450,60,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.500,63,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.550,66,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.600,70,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.650,73,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.700,77,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.750,81,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.800,85,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.850,90,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.900,97,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.950,106,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.975,114,forecast
2021-10-04,3 wk ahead inc death,2021-10-23,AT,quantile,0.99,124,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,point,NA,12158,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.010,8200,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.025,8824,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.050,9360,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.100,9978,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.150,10395,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.200,10727,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.250,11012,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.300,11267,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.350,11504,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.400,11728,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.450,11945,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.500,12158,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.550,12372,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.600,12589,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.650,12813,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.700,13050,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.750,13305,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.800,13590,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.850,13921,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.900,14339,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.950,14957,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.975,15493,forecast
2021-10-04,1 wk ahead inc case,2021-10-09,AT,quantile,0.99,16116,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,point,NA,58,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.010,0,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.025,0,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.050,6,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.100,18,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.150,26,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.200,32,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.250,37,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.300,42,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.350,46,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.400,50,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.450,54,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.500,58,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.550,62,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.600,66,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.650,71,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.700,75,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.750,80,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.800,85,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.850,91,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.900,99,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.950,110,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.975,120,forecast
2021-10-04,4 wk ahead inc death,2021-10-30,AT,quantile,0.99,132,forecast
2021-10-04,2 wk ahead inc case,2021-10-16,AT,point,NA,11689,forecast
2021-10-04,2 wk ahead inc case,2021-10-16,AT,quantile,0.010,6412,forecast
2021-10-04,2 wk ahead inc case,2021-10-16,AT,quantile,0.025,7243,forecast
